Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
1327,1122,4.0,0.8469740418645166
1327,816,12.0,0.8431025413015406
1327,403,6.0,0.8385037906437552
1327,100557,12.0,0.8334215879704404
1327,817,12.0,0.8330233353731717
1327,119572,12.0,0.8317215698908139
1327,115811,12.0,0.8244173182229897
1327,421,11.0,0.8213119275315834
1327,1388,7.0,0.8169386698461548
1327,105521,9.0,0.8133596341390251
1327,105714,12.0,0.8129016804262347
1327,1104,9.0,0.8114282030559788
1327,95295,10.0,0.8111391636303622
1327,539,4.0,0.8102749749565799
1327,99380,8.0,0.80679815687725
1327,1114,8.0,0.8064551747808518
1327,95342,9.0,0.8059518163972816
1327,411,9.0,0.8041047122482273
1327,1725,3.0,0.8018362674627995
1327,1724,3.0,0.8010023799442632
1327,1723,4.0,0.7914962127825386
1327,555,1.0,0.7913131631863346
1327,109365,4.0,0.7908738207731616
1327,1111,12.0,0.7907725571531539
1327,382,11.0,0.7879979243325939
1327,1745,4.0,0.7840040428843056
1327,1147,12.0,0.783287587884535
1327,1191,6.0,0.781255371912113
1327,110049,12.0,0.780898071350004
1327,1713,2.0,0.7807775866901026
1327,1746,5.0,0.7807183138684641
1327,1734,4.0,0.7801236377978666
1327,1394,3.0,0.7773568359797383
1327,100160,10.0,0.7773435633858627
1327,1404,2.0,0.7732974757524549
1327,1396,4.0,0.7711038442076223
1327,1145,6.0,0.7708440051770185
1327,1400,2.0,0.770775048508627
1327,1415,5.0,0.7699434023856123
1327,1703,2.0,0.7698738914854797
1327,1403,1.0,0.7697068028232108
1327,1747,5.0,0.7696851659183083
1327,1416,4.0,0.7696600252087652
1327,831,10.0,0.7691065171124443
1327,1395,4.0,0.7683131023366291
1327,2169,6.0,0.7682166488689156
1327,1410,4.0,0.7680394670989098
1327,1414,5.0,0.7669140897305243
1327,383,7.0,0.7663169409130841
1327,1401,4.0,0.7658965682647046
1327,1092,1.0,0.7657209458555093
1327,1406,3.0,0.7655718584709533
1327,1405,3.0,0.7654153596518248
1327,1105,1.0,0.7649632581759229
1327,1409,5.0,0.7643278829325735
1327,1160,12.0,0.7638887925790402
1327,1413,5.0,0.7636684972265164
1327,1735,6.0,0.7633098245468498
1327,95567,10.0,0.7632883718138966
1327,1402,4.0,0.7632725551667108
1327,1374,9.0,0.7610964672136923
1327,567,12.0,0.7609829597494839
1327,1411,5.0,0.7609532679787427
1327,102432,7.0,0.7607363909653044
1327,1091,1.0,0.7603695204406931
1327,2156,6.0,0.7598149074209846
1327,1397,5.0,0.7597436185954693
1327,1377,10.0,0.7570980119467098
1327,2168,6.0,0.7566298205591244
1327,1424,5.0,0.7561330227591989
1327,1423,5.0,0.7558458052038957
1327,2155,7.0,0.7541012112959826
1327,1421,5.0,0.75373634842181
1327,1431,4.0,0.753650260858919
1327,1731,6.0,0.7523023043035334
1327,1412,7.0,0.7518884510305757
1327,815,1.0,0.7513379086667312
1327,1154,3.0,0.7511420510429404
1327,1422,6.0,0.7510560745808903
1327,114168,12.0,0.7492124631486572
1327,806,1.0,0.7485084170315919
1327,1398,6.0,0.7481874208052304
1327,1736,5.0,0.7471960449128072
1327,96662,12.0,0.746734811446333
1327,1430,6.0,0.7465620841223312
1327,274,12.0,0.7460365707408911
1327,1168,9.0,0.7458028058320592
1327,812,10.0,0.7446048098302601
1327,1425,6.0,0.7443660147502226
1327,2167,5.0,0.74387657975115
1327,118297,12.0,0.7429014001827597
1327,1695,1.0,0.7427604986297698
1327,1173,12.0,0.7409781636996178
1327,1432,4.0,0.7409175277286084
1327,1429,6.0,0.7405677019490898
1327,1202,6.0,0.7404468158921484
1327,609,8.0,0.7384943127624954
1327,1418,6.0,0.7383029186190992
1327,1408,4.0,0.7374440012544451
1327,114026,6.0,0.7369197344829379
1327,538,3.0,0.7362313166810923
1327,874,12.0,0.736133317066359
1327,1732,6.0,0.735966924865459
1327,104379,5.0,0.73445671707942
1327,105191,11.0,0.7338758550412806
1327,110169,6.0,0.7336969804639605
1327,1378,12.0,0.7335459891827193
1327,842,12.0,0.733083826433919
1327,841,12.0,0.7330072705530053
1327,271,12.0,0.7326978059180059
1327,1419,6.0,0.7326773262969839
1327,69,6.0,0.732581416234978
1327,1733,6.0,0.7315792521824823
1327,559,5.0,0.7307005315503878
1327,2166,7.0,0.7302997736442064
1327,822,1.0,0.7299458525321783
1327,112791,6.0,0.7292292876181949
1327,2439,5.0,0.7289032297921361
1327,568,2.0,0.7288695922654476
1327,1426,6.0,0.7286273548221021
1327,1137,4.0,0.7283004969639777
1327,1126,1.0,0.7272463648828741
1327,1442,4.0,0.7271273342536261
1327,2154,8.0,0.7264616466939036
1327,381,9.0,0.7262529338419182
1327,1093,1.0,0.7259637298614467
1327,1438,2.0,0.725793913595377
1327,581,12.0,0.724536654398585
1327,1420,9.0,0.7241721331367513
1327,566,12.0,0.72230199945207
1327,115742,8.0,0.72132477383516
1327,843,12.0,0.7212814513885636
1327,1737,6.0,0.7203352255147438
1327,74,12.0,0.720261563865104
1327,1434,5.0,0.7199858607718086
1327,1738,7.0,0.7195835508862657
1327,1387,4.0,0.7194509348165155
1327,1133,12.0,0.7187490217522703
1327,1739,8.0,0.7182440177624687
1327,867,12.0,0.7180725199277913
1327,120066,11.0,0.7175495139956394
1327,104500,4.0,0.7164244036152474
1327,2095,5.0,0.7161779189724111
1327,1427,9.0,0.7160011243230153
1327,1721,7.0,0.7158610666403674
1327,99467,4.0,0.7153188437688321
1327,1441,7.0,0.7153051463550467
1327,97019,12.0,0.715181468861456
1327,548,7.0,0.7147817325983601
1327,2121,2.0,0.7142878701586596
1327,832,12.0,0.7142778403421906
1327,158,12.0,0.7138536725546263
1327,391,11.0,0.7135018707269847
1327,2097,5.0,0.7132464505103171
1327,1443,11.0,0.7130430866837878
1327,1109,6.0,0.7122599436933146
1327,2108,5.0,0.7116458355398796
1327,560,12.0,0.7115125324545768
1327,1436,7.0,0.7107223603479539
1327,2135,5.0,0.7098315330282954
1327,1375,1.0,0.7096586439530865
1327,54,2.0,0.7096034415796033
1327,1439,6.0,0.7089419364489455
1327,1722,3.0,0.7082246650086659
1327,1444,10.0,0.7076741973304741
1327,809,12.0,0.7073474776504912
1327,112967,1.0,0.7069133036392615
1327,100385,7.0,0.7063284067840216
1327,1437,8.0,0.7057791135898401
1327,1706,1.0,0.7047624690558387
1327,1112,12.0,0.7045308998690037
1327,1139,6.0,0.7043307231180866
1327,163,12.0,0.7016229602188102
1327,1142,9.0,0.700429615259065
1327,880,11.0,0.700198235341732
1327,2096,5.0,0.6999643065076047
1327,1450,8.0,0.6998549602974775
1327,2123,5.0,0.6990148329648546
1327,1120,12.0,0.6977453256021251
1327,1435,7.0,0.6971869988399215
1327,850,10.0,0.6965675549263337
1327,601,9.0,0.6959817525291456
1327,1748,7.0,0.695393850275968
1327,1118,12.0,0.6949155018835844
1327,108916,9.0,0.693925704687939
1327,61,12.0,0.6935157943791044
1327,2103,5.0,0.6932792303955853
1327,99141,8.0,0.6904870100413338
1327,100726,8.0,0.6899710715529305
1327,9197,12.0,0.6894670661180891
1327,1447,6.0,0.6892881996599514
1327,1448,6.0,0.6889349349909011
1327,1449,7.0,0.6884942980555101
1327,102082,8.0,0.6882620463223013
1327,807,1.0,0.6877743558740566
1327,1188,11.0,0.6863152338240734
1327,1684,1.0,0.6854174218424973
1327,103660,12.0,0.6851951459736054
1327,71,12.0,0.6850498708219771
1327,112229,9.0,0.6843521943568636
1327,818,11.0,0.6841495434691822
1327,105115,1.0,0.6838696006366635
1327,2122,1.0,0.6822114630196938
1327,1761,9.0,0.6809306324932289
1327,114205,5.0,0.6806000076774834
1327,1445,11.0,0.6799547960120712
1327,1453,7.0,0.6785918595219066
1327,838,12.0,0.678541689526442
1327,1749,7.0,0.6781135395089108
1327,1753,9.0,0.6767284367344596
1327,823,1.0,0.6757520395789972
1327,540,4.0,0.6755791700061411
