Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
11531,5322,8.0,0.7020902882627247
11531,5320,5.0,0.6979959474296895
11531,106752,7.0,0.697720801596603
11531,5892,6.0,0.6954823678356148
11531,5891,5.0,0.6936372449902108
11531,1152,12.0,0.6929280805010286
11531,6471,5.0,0.6899520484550674
11531,5906,6.0,0.687411529542854
11531,5324,8.0,0.6849988361026884
11531,5340,1.0,0.683926215154555
11531,5353,11.0,0.6819861304632745
11531,408,8.0,0.6816941482455403
11531,5371,10.0,0.6811363683028925
11531,5871,8.0,0.6810831027735258
11531,5349,12.0,0.6804566275772146
11531,5914,5.0,0.6794633348456114
11531,5890,6.0,0.6791922215773978
11531,5351,12.0,0.6791036960052557
11531,5352,11.0,0.6784896893530237
11531,5334,5.0,0.6775442375529026
11531,5897,7.0,0.6760422590950181
11531,4719,4.0,0.6758843146103868
11531,5348,11.0,0.6745588865721237
11531,5321,6.0,0.673229598748267
11531,4718,6.0,0.6716427830254693
11531,3351,10.0,0.6695180655543709
11531,5350,3.0,0.669508355617372
11531,4289,4.0,0.6691311348786626
11531,5381,11.0,0.6680242735132231
11531,6521,10.0,0.6656325443363977
11531,4749,4.0,0.6641627917946942
11531,5974,9.0,0.6640516747311931
11531,5323,5.0,0.6601655741551955
11531,3373,11.0,0.6596747683073947
11531,5347,12.0,0.6588133231988963
11531,4745,4.0,0.6586689785953961
11531,6522,11.0,0.6582946735112665
11531,4699,2.0,0.658258294437425
11531,3374,12.0,0.6576274605689668
11531,4312,4.0,0.6576212340773597
11531,5372,8.0,0.6570983767389598
11531,3767,12.0,0.6566933690247676
11531,5360,10.0,0.6562861892205543
11531,5958,12.0,0.6552683632299512
11531,3773,12.0,0.6540877599683306
11531,5957,11.0,0.6534486379373552
11531,7126,11.0,0.653422946810675
11531,6520,11.0,0.6532672975491649
11531,5886,12.0,0.6527408123223313
11531,4233,2.0,0.6518741153841212
11531,4731,4.0,0.6516602713618398
11531,4269,2.0,0.6511171042336371
11531,5346,10.0,0.6508151451391126
11531,6523,11.0,0.6505346662277594
11531,4739,5.0,0.6504626380830956
11531,6524,10.0,0.6503547176729376
11531,110565,7.0,0.6502625376315261
11531,4735,4.0,0.6495189460511611
11531,5895,12.0,0.6481240444206853
11531,4736,4.0,0.6478254740620335
11531,5905,8.0,0.6470487269697432
11531,4746,4.0,0.6465638239921079
11531,7115,12.0,0.6462500881525938
11531,3363,11.0,0.6461198067636489
11531,4254,2.0,0.646102231085618
11531,4270,2.0,0.6460965327933239
11531,5887,12.0,0.6458851447883829
