Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
11492,10716,1.0,0.7057301877601962
11492,10696,1.0,0.5752005534363744
11492,11451,10.0,0.5611358354067204
11492,10705,1.0,0.5439173993444231
11492,11449,11.0,0.4276762005349872
11492,11450,10.0,0.4273166226233306
11492,116225,1.0,0.41505918230704764
11492,8446,9.0,0.36088489128735757
11492,10687,2.0,0.3528921904357968
11492,11441,10.0,0.34237742036168817
11492,9965,12.0,0.34019439755329073
11492,10688,12.0,0.33995008663755866
11492,11442,11.0,0.3399062424323639
11492,553,12.0,0.3396955057475134
11492,9931,12.0,0.33824937540674127
11492,9897,12.0,0.3295784296753007
11492,108649,12.0,0.3284663813552827
11492,9940,1.0,0.32757352347300284
11492,7767,4.0,0.3211102023864252
11492,286,5.0,0.31722140467734794
11492,105221,4.0,0.315419697503591
11492,380,5.0,0.3094197652401637
11492,7752,4.0,0.3089410216519298
11492,7801,6.0,0.3044570872969309
11492,9953,8.0,0.3027540863932743
11492,7802,10.0,0.29578434948716403
11492,7751,3.0,0.2947647414615775
11492,7131,4.0,0.29269805994535014
11492,388,11.0,0.28772799865719656
11492,9167,12.0,0.2843574314104662
11492,7766,6.0,0.2841070982249084
11492,9166,12.0,0.2824548640772597
11492,7765,7.0,0.2788706843893375
11492,112382,12.0,0.27877486940159624
11492,6558,7.0,0.27835867471606546
11492,6544,7.0,0.2773738024018009
11492,410,12.0,0.2768001449333437
11492,9923,1.0,0.27363574487663744
11492,904,11.0,0.2722425059856317
11492,7145,7.0,0.27219594518781387
11492,6573,6.0,0.27199632541613306
11492,6536,4.0,0.27117281383560476
11492,9922,2.0,0.2705067782108369
11492,9155,12.0,0.26610997744751075
11492,7781,8.0,0.26504501879708653
11492,114205,7.0,0.26446464479740484
11492,7764,8.0,0.2622778872042738
11492,96965,12.0,0.25941794091842507
11492,9154,12.0,0.25901901688568874
11492,109421,8.0,0.25475753346632146
11492,9140,12.0,0.2489147151045753
11492,97426,12.0,0.24195484861918826
11492,9910,12.0,0.23840085332643424
11492,7154,9.0,0.23414887867748846
11492,108877,3.0,0.2325442245180619
11492,7160,2.0,0.2309168139206511
11492,95545,3.0,0.23026255850693622
11492,1119,8.0,0.22591883571618276
11492,103187,7.0,0.22416435559088943
11492,1089,10.0,0.22402423112813785
11492,118289,12.0,0.22091784580329765
11492,107442,9.0,0.21911744911508035
11492,1392,8.0,0.2187703395490651
11492,7780,10.0,0.21876282744156028
11492,114922,12.0,0.2148755981049617
11492,7719,8.0,0.21479623594413366
11492,860,9.0,0.21047355511054466
11492,7153,5.0,0.21010613142797663
11492,116599,5.0,0.2098880398232552
11492,413,7.0,0.20953890761603688
11492,103987,6.0,0.20559617440878075
11492,7111,6.0,0.205128355947509
11492,6530,7.0,0.20221551258418669
11492,554,12.0,0.2007669536695864
11492,7110,7.0,0.20060214004459376
11492,6517,5.0,0.1991880112362625
11492,7134,8.0,0.19805765852319346
11492,577,9.0,0.1972657933038644
11492,7734,11.0,0.19537316708684627
11492,8438,12.0,0.1946702365809162
11492,7733,11.0,0.19225572344139208
11492,1391,12.0,0.19105525088999464
11492,7133,7.0,0.19026089770292542
11492,103900,7.0,0.1902500759221034
11492,7132,8.0,0.18609054587038498
11492,101208,12.0,0.1843389130927342
11492,97350,12.0,0.18295589041916283
11492,7775,12.0,0.1827021936538421
11492,138,11.0,0.18203988835347884
11492,7113,9.0,0.18160139397788488
11492,6518,7.0,0.18048944644134313
11492,7823,12.0,0.17679174200168513
11492,8453,11.0,0.17592074464483687
11492,7812,12.0,0.17500313112503185
11492,95435,1.0,0.1722669824193096
11492,9190,7.0,0.17188914506599928
11492,882,12.0,0.17188591138620557
11492,3853,2.0,0.1716515997085274
11492,96215,7.0,0.1715465011014271
11492,7112,9.0,0.17130796695733186
11492,9179,7.0,0.17042593902107928
11492,5947,8.0,0.17037013185507133
11492,8489,10.0,0.17014859116601977
11492,6516,7.0,0.16868935473033098
11492,108048,12.0,0.1665842288601208
11492,7791,3.0,0.16650629244215198
11492,9180,6.0,0.1659030296466364
11492,425,11.0,0.16579780335205152
11492,588,9.0,0.16390810485670138
11492,556,12.0,0.16080823554610635
11492,8421,5.0,0.157160433415081
11492,597,12.0,0.15679376783155108
11492,5937,11.0,0.15613999901491948
11492,164,12.0,0.15560714220585692
11492,7790,4.0,0.15440436288766968
11492,8464,7.0,0.1534785633306206
11492,8490,9.0,0.15262609394496007
11492,6499,10.0,0.15258102389453054
11492,8475,10.0,0.1519891770731231
11492,7094,12.0,0.15170347844014265
11492,7198,5.0,0.15161029860222008
11492,5929,11.0,0.15094671269709148
11492,595,12.0,0.15088735836432376
11492,6506,8.0,0.1494013863649969
11492,7093,12.0,0.14921037455775643
11492,6498,11.0,0.1488623865579055
11492,5928,10.0,0.1486541823583747
11492,113100,1.0,0.14834709514230293
11492,5927,12.0,0.1465569033139077
11492,863,1.0,0.14531876230732343
11492,3854,2.0,0.14435109831893034
11492,109953,7.0,0.14416821300335625
11492,7181,11.0,0.14406291750346
11492,6497,12.0,0.14403286165931084
11492,6487,12.0,0.14058584939022634
11492,7144,7.0,0.1390482005671232
11492,7142,10.0,0.13873246980738363
11492,7141,10.0,0.13657442608394843
11492,5914,12.0,0.13554167899925906
11492,6471,12.0,0.13406694498727534
11492,116081,9.0,0.13379703072698224
11492,5913,12.0,0.13371284181996745
11492,5906,12.0,0.13315250916859145
11492,7811,10.0,0.13213463122808267
11492,106447,1.0,0.13103424503455385
11492,7143,7.0,0.13079128561054987
11492,589,1.0,0.12981751026820865
11492,7736,9.0,0.12965646465020952
11492,102765,9.0,0.1285790630268988
11492,95282,5.0,0.12841151562137076
11492,110972,9.0,0.12838517541165817
11492,5905,12.0,0.12813128405710483
11492,113757,8.0,0.12395314276171854
11492,97519,9.0,0.12285049762110345
11492,101967,10.0,0.12283900908669154
11492,5973,8.0,0.12153075097779431
11492,6531,9.0,0.12096668213470485
11492,601,12.0,0.12017711714416823
11492,823,8.0,0.11975717731095537
11492,115627,1.0,0.1188190661937909
11492,615,12.0,0.11820052624025557
11492,7735,11.0,0.11791712408703536
11492,7127,8.0,0.11755339973395607
11492,1094,12.0,0.11688580790312564
11492,161,12.0,0.11681159256807838
11492,5924,1.0,0.11417771835098811
11492,149,12.0,0.11372011150668382
11492,165,12.0,0.1131190812663162
