Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
7263,114168,9.0,0.7124132548998879
7263,855,1.0,0.6971562250958461
7263,866,1.0,0.6940316954336186
7263,583,1.0,0.6858709995820128
7263,113868,1.0,0.6853484879043183
7263,2175,1.0,0.6816808393076357
7263,856,9.0,0.6785643866281312
7263,867,1.0,0.6772445807284546
7263,1139,7.0,0.6755195823578084
7263,559,7.0,0.674935702659573
7263,115180,1.0,0.6731369386848773
7263,114050,1.0,0.6725945250291612
7263,2166,3.0,0.6702630773280546
7263,1822,1.0,0.6695576165200232
7263,591,1.0,0.6688085463762825
7263,1813,1.0,0.6688071820428134
7263,2154,3.0,0.6682349718527442
7263,548,12.0,0.6660759932193772
7263,890,9.0,0.6658215495742013
7263,1814,1.0,0.6639333127567317
7263,110600,3.0,0.662660244347159
7263,109567,8.0,0.6622518163386772
7263,601,7.0,0.6617916252421328
7263,2155,1.0,0.661241371870112
7263,98665,1.0,0.6593606022212382
7263,98002,12.0,0.6580616364317599
7263,1815,2.0,0.6578711202645127
7263,1128,7.0,0.6578389725738792
7263,2156,1.0,0.6578211145696093
7263,1806,2.0,0.657718544125391
7263,609,3.0,0.6571390371791854
7263,873,12.0,0.6571199812656523
7263,864,11.0,0.6569732764869527
7263,71,12.0,0.6560564262883601
7263,2167,2.0,0.65184570092421
7263,115708,11.0,0.6513629271171344
7263,69,7.0,0.6500486491336264
7263,625,5.0,0.6491162176995082
7263,1786,3.0,0.6490253163137845
7263,426,10.0,0.6483182355637704
7263,2168,1.0,0.6480717703014978
7263,569,12.0,0.6475105313033258
7263,139,12.0,0.646765531524503
7263,622,12.0,0.6467182346013651
7263,1794,1.0,0.6460701554674974
7263,1146,1.0,0.6451907221160348
7263,110169,7.0,0.6445109072573606
7263,1168,8.0,0.6427325495864495
7263,2103,3.0,0.6422812612401811
7263,1807,1.0,0.6417927622436724
7263,114216,5.0,0.641489686958024
7263,1795,3.0,0.639808165880664
7263,844,1.0,0.6396723825166462
7263,155,3.0,0.6378467422482981
7263,283,5.0,0.6377019718384589
7263,1785,3.0,0.6376297801919066
7263,2109,4.0,0.6372120678062541
7263,874,1.0,0.6367521113411427
7263,117413,1.0,0.6364456297035143
7263,590,11.0,0.6364342349561494
7263,1469,1.0,0.6363566261472668
7263,2108,4.0,0.6354917855354048
7263,1406,1.0,0.6347010687267776
7263,1115,10.0,0.6342741225751289
7263,1784,2.0,0.6328066850435
7263,2097,4.0,0.6318842655657253
7263,274,12.0,0.6310245507311797
7263,1154,11.0,0.6269599301164487
7263,845,5.0,0.6267239307435244
7263,113443,8.0,0.626294323272917
7263,880,5.0,0.625041170435896
7263,159,10.0,0.6244743800263646
7263,99467,5.0,0.6233472823496529
7263,578,1.0,0.6231627927563137
7263,108216,12.0,0.6219096088617008
7263,1724,4.0,0.6205481322023464
7263,1147,1.0,0.6185672368790486
7263,1162,9.0,0.6176208526447491
7263,582,12.0,0.6168173832459061
7263,95295,1.0,0.6162060681751749
7263,100385,10.0,0.6155508741396026
7263,1384,11.0,0.6149263515873369
