Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
301,2450,2.0,0.8076667277289545
301,2451,2.0,0.7789282050340071
301,2858,4.0,0.7571868043005234
301,2452,1.0,0.7492888961814511
301,2856,1.0,0.74683194191117
301,2857,2.0,0.7447183615262971
301,2439,1.0,0.7419172043162938
301,2462,5.0,0.7220393930411724
301,2468,3.0,0.7217895391232416
301,119572,1.0,0.7112900217416468
301,2057,1.0,0.7072444741088315
301,2466,1.0,0.706203163888982
301,2056,1.0,0.7037541753792689
301,2467,1.0,0.7009674407781515
301,2479,2.0,0.6911665863684755
301,2480,6.0,0.6799080237098968
301,4703,1.0,0.6761002547086289
301,4235,6.0,0.6746217015064258
301,4236,6.0,0.6737664000113914
301,95222,1.0,0.6729857803617901
301,4245,1.0,0.6722896233173171
301,110185,3.0,0.6693970990192031
301,115811,6.0,0.6618429848898604
301,2859,5.0,0.6616955871430437
301,97852,2.0,0.6499827655810324
301,2481,5.0,0.6491035068590224
301,4246,3.0,0.6478939381919548
301,2867,1.0,0.6452583993432071
301,2175,5.0,0.6437509780524378
301,96159,12.0,0.6408109783746445
301,95960,12.0,0.6405981576415667
301,4247,6.0,0.6390969595847292
301,98982,4.0,0.6341128524946091
301,2494,3.0,0.6294796010098385
301,95959,12.0,0.6281177238097984
301,95962,12.0,0.626139922124063
301,2068,1.0,0.618605787163811
301,95958,11.0,0.6167219509236186
301,95342,1.0,0.6152417226417972
301,2868,1.0,0.6102682690474314
301,4248,6.0,0.6102059031630156
301,4719,2.0,0.6094852289328292
301,4244,3.0,0.6086749013089947
301,275,5.0,0.6038066888472802
301,1176,7.0,0.5931688234400617
301,104379,2.0,0.5909231328383362
301,3319,3.0,0.589035282199095
301,2877,5.0,0.58380146480695
301,2035,4.0,0.5814635477351254
301,112201,10.0,0.578657865264128
301,4257,2.0,0.5780438231692191
301,4731,2.0,0.5779195584127937
301,5299,4.0,0.5774576019513028
301,5300,5.0,0.57510648425478
301,5285,4.0,0.5747808325843229
301,95562,9.0,0.5747206367610057
301,5284,5.0,0.5725334276488617
301,102082,1.0,0.5723526845908096
301,2885,4.0,0.5709678565009275
301,2034,4.0,0.5677039087792662
301,1377,12.0,0.5671938169642388
301,112192,6.0,0.5668165262084184
301,95931,11.0,0.5610422314460739
301,3318,3.0,0.5603755447516298
301,1151,5.0,0.5593604494471055
301,4718,2.0,0.5586599803785262
301,1692,3.0,0.5552658856383421
301,95933,12.0,0.5536956890127884
301,96147,1.0,0.551325398063554
301,2453,1.0,0.5511307266172251
301,626,5.0,0.5484303933832038
301,623,5.0,0.5475508703023273
301,95932,11.0,0.5452766274758993
301,104132,1.0,0.5448606242725369
301,2482,2.0,0.5446071747530019
301,1691,3.0,0.543758973384911
301,539,10.0,0.542928993719558
301,4227,3.0,0.542129445937064
301,2078,4.0,0.5414230648934439
301,546,2.0,0.5406001483450144
301,97019,1.0,0.5371724388276188
301,4230,7.0,0.5338793622190374
301,2083,5.0,0.5338398505908994
301,104500,8.0,0.5300484235229809
301,1736,3.0,0.5246098316978322
301,112377,7.0,0.5225914838478521
301,95295,6.0,0.5217320260461162
301,110726,1.0,0.5202295026945852
301,2493,4.0,0.5172235566240168
301,4260,1.0,0.5167701709242505
301,2070,1.0,0.516621054501414
301,117410,12.0,0.5165233854257323
301,95282,1.0,0.5131932165398079
301,2079,5.0,0.5082088654316155
301,4242,1.0,0.5073704505704074
301,5311,6.0,0.5073058815861536
301,1705,1.0,0.5065005832397236
301,2463,2.0,0.5027450124218109
301,2895,9.0,0.5025797646696513
301,2896,9.0,0.5003442883247269
301,582,7.0,0.49950133502884453
301,2477,9.0,0.49880996073782924
301,99921,11.0,0.4967657346147689
301,4268,1.0,0.49664152194037214
301,3795,9.0,0.4950677204974654
301,4717,1.0,0.4941465648876069
301,1752,9.0,0.4934950736215574
301,2888,8.0,0.49325205881507594
301,2086,3.0,0.49285163880092775
301,2870,7.0,0.4912809497295242
301,107468,8.0,0.4895242687929128
301,1763,6.0,0.4886144417622682
301,115173,11.0,0.48767693824595904
301,1124,12.0,0.4871082921234814
301,2491,9.0,0.48379403310377334
301,1759,6.0,0.48312058100231003
301,95482,10.0,0.48263484300393567
301,2067,1.0,0.48055781206394665
301,1735,3.0,0.4802388029500997
301,1137,12.0,0.4800931046994932
301,2869,1.0,0.4799505590087484
301,2093,3.0,0.47992685325705076
301,2887,8.0,0.4783324727437607
301,1693,1.0,0.47794112275714506
301,2889,8.0,0.4778484157453776
301,2476,8.0,0.47697612761394637
301,4699,4.0,0.4767169357011293
301,2954,2.0,0.4758711975433111
301,1751,9.0,0.4756197639279861
301,96603,12.0,0.4742907814036097
301,110742,11.0,0.4728590764571501
301,1762,6.0,0.472045410613682
301,5291,1.0,0.4717952099832913
301,2878,6.0,0.47081885871836104
301,2069,6.0,0.46811746196267534
301,100726,7.0,0.46669333756884157
301,4241,12.0,0.46624901397548835
301,1166,3.0,0.4649348067036815
301,1704,1.0,0.4611146143132018
301,4255,12.0,0.45987032671978545
301,4715,1.0,0.45902652165531854
301,2171,6.0,0.45716738539464974
301,2490,8.0,0.4547813892311615
301,4243,12.0,0.45453367409025547
301,4256,12.0,0.4545067537312303
301,4691,12.0,0.45411587676815435
301,3309,3.0,0.4520668023118495
301,391,10.0,0.4505883223171758
301,4233,12.0,0.4487319592357737
301,4692,12.0,0.4486109600768061
301,3771,2.0,0.4476524493854115
301,4254,12.0,0.4467356606449694
301,1374,1.0,0.44663561449411093
301,4234,12.0,0.44572964243392
