Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
6006,115708,5.0,0.8320837778194975
6006,2147,6.0,0.827351574239695
6006,2146,6.0,0.8259605740036269
6006,2139,7.0,0.8092859926549665
6006,3388,10.0,0.8014041170368134
6006,3775,10.0,0.8011376017503542
6006,104190,10.0,0.7994651486993611
6006,3794,10.0,0.7990387390993796
6006,3785,10.0,0.7985340084827388
6006,3783,11.0,0.7970341202191257
6006,4273,12.0,0.7969786340785694
6006,2524,6.0,0.7961434476302023
6006,3784,11.0,0.7954347518630703
6006,3793,11.0,0.7950492904073863
6006,3792,12.0,0.794585624828064
6006,2130,8.0,0.7942026790196306
6006,2535,8.0,0.7938860105185415
6006,4262,12.0,0.7935507181387317
6006,4702,12.0,0.7934863677183239
6006,4713,12.0,0.793054156343149
6006,97466,5.0,0.7930139419647846
6006,4261,12.0,0.792944906915991
6006,2120,8.0,0.7919689067292711
6006,3831,2.0,0.7919535001021369
6006,2526,8.0,0.7917386428985707
6006,4703,12.0,0.7916226479546944
6006,2536,9.0,0.7914669311735205
6006,3398,7.0,0.7907128970059986
6006,4712,12.0,0.7903665035167542
6006,3790,7.0,0.790303184608043
6006,2525,9.0,0.7899592847235283
6006,4252,11.0,0.7899531651851643
6006,155,4.0,0.7899002827118449
6006,3789,8.0,0.7897590311862064
6006,4714,12.0,0.7893977705062655
6006,4715,12.0,0.7891335497860288
6006,4263,11.0,0.7890861223801255
6006,3782,11.0,0.7885592903687879
6006,2515,11.0,0.7882152749330914
6006,4253,11.0,0.7879995615665576
6006,4271,12.0,0.7879616415052126
6006,3781,11.0,0.7878709581515942
6006,2129,7.0,0.7873745205822957
6006,428,7.0,0.7870831557630583
6006,2528,10.0,0.7867581177918195
6006,3372,8.0,0.7865599643348167
6006,3416,9.0,0.7865380202227089
6006,116230,12.0,0.7861278287590157
6006,3798,8.0,0.785246444664757
6006,3766,9.0,0.7850429141070527
6006,2514,10.0,0.784764360139798
6006,3371,9.0,0.7846568862229889
6006,3397,8.0,0.7840389391854011
6006,4264,11.0,0.7835569109774028
6006,565,10.0,0.7835394127489088
6006,2505,11.0,0.783412944874049
6006,3820,1.0,0.7830516444817031
6006,2128,8.0,0.7827070252906501
6006,2537,9.0,0.7825541941361017
6006,2127,8.0,0.7822493131701791
6006,2527,10.0,0.7816454606753019
6006,4274,11.0,0.7811981511952744
6006,145,4.0,0.7807638353846162
6006,2516,11.0,0.780535201514172
6006,4730,12.0,0.7802182273057205
6006,3862,10.0,0.7788529305347642
6006,3778,7.0,0.7787915985409171
6006,3780,11.0,0.7785191576849249
6006,2513,8.0,0.77734420567449
6006,4291,12.0,0.7770082388879428
6006,1389,8.0,0.7767493972680386
6006,3415,9.0,0.7755208809492047
6006,3774,8.0,0.774619117638929
6006,3809,4.0,0.7744521112868223
6006,3362,10.0,0.7742959540178862
6006,104500,6.0,0.7739104430958786
6006,4731,12.0,0.7737205811052554
6006,3819,12.0,0.7736253296300839
6006,3842,2.0,0.7727677972386542
6006,3417,10.0,0.7726988643839909
6006,2116,2.0,0.7726309396422926
6006,3418,11.0,0.7718848083429525
6006,3406,6.0,0.7717214951923881
6006,2523,7.0,0.771568021599977
6006,3800,4.0,0.7709822337902894
6006,4290,12.0,0.770777821351349
6006,600,9.0,0.7700139917983249
6006,4231,12.0,0.7696145275013231
6006,3779,10.0,0.7693711084749562
6006,2109,1.0,0.7690310377262373
6006,4729,12.0,0.768910823290692
6006,2955,2.0,0.7688143737989591
6006,3791,10.0,0.7683926310052145
6006,2496,11.0,0.7675512580856438
6006,3807,11.0,0.7673650597118892
6006,3387,4.0,0.7672211423677684
6006,2949,1.0,0.7671619696493742
6006,3768,9.0,0.7670732033590403
6006,3386,8.0,0.7660619181487784
6006,3801,9.0,0.7659519517911967
6006,4229,12.0,0.765638754862349
6006,4228,12.0,0.7654473945888173
6006,275,9.0,0.7652999661839058
6006,2502,12.0,0.7651970446278606
6006,2542,8.0,0.7650718948003368
6006,4289,12.0,0.764970514554966
6006,4232,12.0,0.7649442298165838
6006,4739,12.0,0.764528197253181
6006,3832,12.0,0.7644253556144839
6006,418,12.0,0.7637535759197406
6006,111902,1.0,0.763637624012532
6006,2495,11.0,0.7632227001278162
6006,118579,12.0,0.7629622691376594
6006,4301,12.0,0.7626244813363452
6006,2115,1.0,0.762581435466032
6006,4312,10.0,0.7624133443739742
6006,3799,7.0,0.7621613767997857
6006,2503,10.0,0.762131622176933
6006,3808,7.0,0.7613660026804896
6006,2564,10.0,0.7608748595872665
6006,3811,10.0,0.7600046063403638
