Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
3246,4548,10.5,0.7680414140981255
3246,4533,10.5,0.768143004973396
3246,4549,10.5,0.7677881610590933
3246,5037,10.5,0.7684491895034179
3246,4532,10.5,0.7685557204263798
3246,5038,10.5,0.7676449694240335
3246,111737,10.5,0.7682000523571278
3246,102131,10.5,0.7678447485107651
3246,4087,10.5,0.7674571845636176
3246,4073,10.5,0.7679723837523655
3246,99242,10.5,0.7676397790804222
3246,5021,10.5,0.768845201689093
3246,5571,10.5,0.7686475044633915
3246,5048,10.5,0.7674083845399909
3246,5586,10.5,0.7675664163977509
3246,5049,10.5,0.7672618595305917
3246,5593,10.5,0.7673843641011692
3246,4564,10.5,0.7672332062601899
3246,5050,10.5,0.7670970276680139
3246,5039,10.5,0.7671779739690069
3246,4565,10.5,0.7670498326310461
3246,105099,10.5,0.7669077847400043
3246,5040,10.5,0.7669677513070654
3246,110830,10.5,0.7684892183721488
3246,99097,10.5,0.7688662463966414
3246,5570,10.5,0.7690797915358994
3246,6131,10.5,0.7675146542580664
3246,5585,10.5,0.7677392887713468
3246,6122,10.5,0.7673451675566793
3246,6121,10.5,0.7675711800786646
3246,6684,10.5,0.7674591489014576
3246,6110,10.5,0.7672654532941561
3246,5572,10.5,0.7671413144586734
3246,6675,10.5,0.7674538097654096
3246,6683,10.5,0.7676516058556135
3246,6108,10.5,0.7687047687847322
3246,6107,10.5,0.7690708387658675
3246,115812,10.5,0.7691596363447842
3246,110107,10.5,0.7677225830980869
3246,4074,10.5,0.7673950614859236
3246,118984,10.5,0.767962713306466
3246,4550,10.5,0.7667409998523698
3246,4534,10.5,0.7667808683596479
3246,4076,10.5,0.7668887274125654
3246,3628,10.5,0.7682658319953943
3246,3635,10.5,0.7678222424898327
3246,100675,10.5,0.76747911969883
3246,6109,10.5,0.7683517223347576
3246,113742,10.5,0.7681831907603753
3246,6119,10.5,0.7679957755480199
3246,5569,10.5,0.7693263206957657
3246,5556,10.5,0.7693460930513409
3246,4075,10.5,0.7672375317051009
3246,3636,10.5,0.7673961755546318
3246,6682,10.5,0.7679095130250669
3246,6120,10.5,0.7677700381628543
3246,6674,10.5,0.7677649191080875
3246,6681,10.5,0.7681942478123652
3246,6673,10.5,0.7681092463131078
3246,108017,10.5,0.768311214670689
3246,6672,10.5,0.768521718293115
3246,6093,10.5,0.7672058006940292
3246,6659,10.5,0.7672694277751055
3246,107065,10.5,0.7676024083300054
3246,6658,10.5,0.7679037983804573
3246,7293,10.5,0.7682558083427867
3246,7305,10.5,0.7684446062099647
3246,7304,10.5,0.7687692255445956
3246,6671,10.5,0.7688743054761047
3246,6657,10.5,0.7690045006993822
3246,6670,10.5,0.769107168416588
3246,6656,10.5,0.7692206574574567
3246,6092,10.5,0.769354941786383
3246,6083,10.5,0.7669927938363318
3246,6645,10.5,0.7672363582501636
3246,6644,10.5,0.7676287474893908
3246,117645,10.5,0.7670198053636175
3246,7294,10.5,0.7680270448046626
3246,7291,10.5,0.7690165232408113
3246,6643,10.5,0.7694800666246764
3246,7290,10.5,0.7692896628107925
3246,6071,10.5,0.7669673541575434
3246,6633,10.5,0.7675805631892569
3246,6634,10.5,0.7672385337618061
3246,7276,10.5,0.767986462948334
3246,7272,10.5,0.769559744040617
3246,101713,10.5,0.7696607826363564
3246,6642,10.5,0.7697462772405617
3246,6632,10.5,0.7699231999163048
3246,6081,10.5,0.7698870717833236
3246,7271,10.5,0.7697886136967175
3246,119753,10.5,0.7671749118605362
3246,6626,10.5,0.7674374184130145
3246,6060,10.5,0.7669782866477202
3246,6625,10.5,0.7676391583660038
3246,7261,10.5,0.7679890566230414
3246,6614,10.5,0.7676516464732352
3246,109463,10.5,0.7677441493800814
3246,6615,10.5,0.767294339166162
3246,7246,10.5,0.7680140507509796
3246,5557,10.5,0.7670610258875351
3246,98729,10.5,0.7695159972965666
3246,6084,10.5,0.7668683584503735
3246,6072,10.5,0.7667979010706292
3246,6069,10.5,0.7700292030947926
3246,6082,10.5,0.7698817714844396
3246,5537,10.5,0.7667074774096068
3246,6061,10.5,0.766810774872652
3246,5546,10.5,0.7667444915767729
3246,103992,10.5,0.7667021650298604
3246,5525,10.5,0.7667316053816653
3246,102221,10.5,0.7668374212850301
3246,6049,10.5,0.7670174315405682
3246,6050,10.5,0.7668859569783294
3246,6604,10.5,0.7670816298556316
3246,116601,10.5,0.7670173630340986
3246,103259,10.5,0.7669426837544224
3246,5012,10.5,0.7694841003073628
3246,5020,10.5,0.7692271655714863
3246,5555,10.5,0.7695743280376681
3246,5558,10.5,0.7668496955477135
3246,5545,10.5,0.7698893888946112
3246,5006,10.5,0.7699214151417315
3246,121420,10.5,0.7697276944657386
3246,5013,10.5,0.7667010493021841
3246,5007,10.5,0.7666540621358917
3246,100343,10.5,0.7699306491584854
3246,4997,10.5,0.7701495058023652
3246,5536,10.5,0.7701104953218603
3246,5526,10.5,0.766686337529066
3246,4998,10.5,0.7666564256465948
3246,5524,10.5,0.7702963899761746
3246,4985,10.5,0.7703676876851117
3246,6070,10.5,0.7701054559377581
3246,4987,10.5,0.7666702607208724
3246,4977,10.5,0.7667243397394804
3246,5515,10.5,0.7667298044039668
3246,5514,10.5,0.7667693556843831
3246,5504,10.5,0.7667682674821109
3246,116504,10.5,0.7667714153964431
3246,6038,10.5,0.7668197635813021
3246,5505,10.5,0.7668148985835277
3246,5492,10.5,0.7668098417926192
3246,5493,10.5,0.7668559180574754
3246,5480,10.5,0.7668491949838486
3246,6023,10.5,0.7668581845318674
3246,5022,10.5,0.7668468146067072
3246,4527,10.5,0.7666666987595738
3246,106287,10.5,0.7667866827639312
3246,4531,10.5,0.7691216965996441
3246,4526,10.5,0.7695491300511917
3246,5008,10.5,0.766603920785141
3246,4525,10.5,0.769934674263509
3246,4511,10.5,0.766570494661585
3246,4999,10.5,0.7666185367808068
3246,4528,10.5,0.7665600856787644
3246,4996,10.5,0.7702973484086398
3246,4521,10.5,0.7702797867611726
3246,5000,10.5,0.766675384303094
3246,4512,10.5,0.7666321339270937
3246,4510,10.5,0.77043464726159
3246,4520,10.5,0.770566320767283
3246,4509,10.5,0.7706947795328377
3246,4988,10.5,0.7667505090323828
3246,105460,10.5,0.7705592025875871
3246,4986,10.5,0.7706208193920566
3246,5513,10.5,0.770489930053097
3246,4978,10.5,0.7668057133159082
3246,4089,10.5,0.7670339496880048
3246,4088,10.5,0.7671852249309659
3246,122070,10.5,0.7673221063510341
3246,4077,10.5,0.7667252136922191
3246,4535,10.5,0.7666096136622489
3246,4068,10.5,0.7665938750015941
3246,4061,10.5,0.7665297011724295
3246,4067,10.5,0.7684516003640617
3246,4066,10.5,0.7690239627625687
3246,4065,10.5,0.769584658810331
3246,4052,10.5,0.7665438134934166
3246,98859,10.5,0.7700622696330284
3246,4058,10.5,0.7704194201046988
3246,112746,10.5,0.7706604588782175
3246,4039,10.5,0.7710140518360646
3246,4040,10.5,0.7666948389785736
3246,4500,10.5,0.7667242786155356
3246,4053,10.5,0.7665983257500699
3246,4031,10.5,0.7707300826475033
3246,4030,10.5,0.7710708090725763
3246,118316,10.5,0.7711947989618548
3246,4032,10.5,0.7667925350305037
3246,4501,10.5,0.7668177984649415
3246,3646,10.5,0.7671422274926596
3246,3647,10.5,0.7669985985448071
3246,4090,10.5,0.7668661092841693
3246,3630,10.5,0.7666073248622708
3246,115869,10.5,0.7667209275688063
3246,3622,10.5,0.7665439919240253
3246,98939,10.5,0.7689383480061192
3246,4060,10.5,0.7695760779441658
3246,4059,10.5,0.7701770462295476
3246,4062,10.5,0.7665591208562111
3246,3623,10.5,0.7665765932632497
3246,3621,10.5,0.7702061052905855
3246,3627,10.5,0.7695502871092663
3246,4051,10.5,0.7706601508630745
3246,3616,10.5,0.7709108576478656
3246,4050,10.5,0.7709478200890074
3246,3617,10.5,0.7666321581106925
3246,4054,10.5,0.7666809221291624
3246,3615,10.5,0.7713116470485929
3246,3604,10.5,0.7715061892998656
3246,3605,10.5,0.7667693291149164
3246,3603,10.5,0.7716385787588114
3246,4502,10.5,0.7668893136566013
3246,4033,10.5,0.7668801912131573
3246,4022,10.5,0.7710292261704736
3246,4498,10.5,0.770742809578727
3246,117499,10.5,0.770869320567012
3246,3596,10.5,0.7715981972022389
3246,3591,10.5,0.7715353293957888
3246,4018,10.5,0.7713065820407657
3246,4023,10.5,0.7710804088640928
3246,3578,10.5,0.7717358844003894
3246,118651,10.5,0.771355306318458
3246,3244,10.5,0.7670955905806389
3246,3648,10.5,0.7669520756124186
3246,3243,10.5,0.7673146665553975
3246,3234,10.5,0.7676802411501655
3246,3233,10.5,0.7682065862161203
3246,3629,10.5,0.7683796802448326
3246,3631,10.5,0.7665920980970056
3246,3638,10.5,0.7666680291680213
3246,107741,10.5,0.7689019607473
3246,3228,10.5,0.7688509024667587
3246,3226,10.5,0.7701612343890951
3246,3227,10.5,0.7695220948132313
3246,3624,10.5,0.7666832710582022
3246,3221,10.5,0.766663468950098
3246,3222,10.5,0.7667345715184148
3246,3220,10.5,0.7708078261713314
3246,3618,10.5,0.7667361730350002
3246,3212,10.5,0.7717178288055109
3246,3213,10.5,0.7713514475059131
3246,3199,10.5,0.7719431709890499
3246,120698,10.5,0.7668122448051111
3246,4041,10.5,0.7668848345079369
3246,3198,10.5,0.7721181784229101
3246,3185,10.5,0.7723264393430703
3246,3590,10.5,0.7720321463456608
3246,3577,10.5,0.7721318688273915
3246,112254,10.5,0.7725006171477977
3246,3154,10.5,0.7723083013767451
3246,3579,10.5,0.7716033858421565
3246,3155,10.5,0.772077459230762
3246,2722,10.5,0.7727141490092881
3246,110522,10.5,0.7671527727533269
3246,3235,10.5,0.7669994767034999
3246,2826,10.5,0.7672907197525463
3246,107128,10.5,0.7675895274123934
3246,102576,10.5,0.7671588903968134
3246,2829,10.5,0.7669795547802462
3246,3637,10.5,0.7668117969690652
3246,104110,10.5,0.7680805938121209
3246,2809,10.5,0.7687231077121413
3246,2808,10.5,0.7695315304174881
3246,2807,10.5,0.7701063949881113
3246,2794,10.5,0.7707538520475962
3246,3214,10.5,0.7667945215706484
3246,100914,10.5,0.766857524701738
3246,3215,10.5,0.7668879395296538
3246,97902,10.5,0.7667832503069438
3246,2795,10.5,0.7667751057699999
3246,3229,10.5,0.7666862810361261
3246,2793,10.5,0.7713852591044672
3246,3223,10.5,0.7669829350461673
3246,3216,10.5,0.7671344890400967
3246,3607,10.5,0.7669749301486751
3246,3606,10.5,0.7668822046875081
3246,2792,10.5,0.7718280549484962
3246,116298,10.5,0.7722811586415719
3246,2781,10.5,0.7722633411354065
3246,3211,10.5,0.7726796726583413
3246,107646,10.5,0.7727645534265432
3246,3170,10.5,0.7729813316099248
3246,105400,10.5,0.7730970429024223
3246,2735,10.5,0.7734127879422629
3246,2734,10.5,0.773572282763749
3246,3171,10.5,0.7729709196118636
3246,113118,10.5,0.7724852217834461
3246,3156,10.5,0.7719212052955091
3246,108719,10.5,0.7724496034328762
3246,2723,10.5,0.7727889441717135
3246,2819,10.5,0.7670409140256167
3246,3236,10.5,0.76679672575102
3246,2828,10.5,0.7672258125540306
3246,2423,10.5,0.7675172519689334
3246,2424,10.5,0.7673890769648702
3246,117075,10.5,0.7673520453012317
3246,2827,10.5,0.7673484291886927
3246,116751,10.5,0.7675537322207057
3246,2411,10.5,0.7672740935013964
3246,112918,10.5,0.7670617572584275
3246,2810,10.5,0.7668560306415969
3246,2811,10.5,0.7669937375547967
3246,116881,10.5,0.7692038554210524
3246,2817,10.5,0.7686320447991972
3246,2384,10.5,0.7705415307650065
3246,2397,10.5,0.7699001437221833
3246,2796,10.5,0.7669153428313659
3246,2383,10.5,0.771505082139346
3246,106194,10.5,0.7719729442935175
3246,106383,10.5,0.7722753244607161
3246,2780,10.5,0.7729059731624958
3246,2791,10.5,0.7728446453778409
3246,3210,10.5,0.7734014429605656
3246,2779,10.5,0.773803154059177
3246,2790,10.5,0.7737113427835058
3246,3219,10.5,0.7743355258598191
3246,2789,10.5,0.7747215891112346
3246,114018,10.5,0.7736919904173619
3246,2341,10.5,0.7741720422995372
3246,2736,10.5,0.7732514403005234
3246,2753,10.5,0.7742208291612229
3246,3184,10.5,0.7737815249656798
3246,2330,10.5,0.7733164327852599
3246,2329,10.5,0.7733732340001218
3246,2724,10.5,0.7728650666195445
3246,98561,10.5,0.7675933320008004
3246,2021,10.5,0.7677889102450975
3246,2422,10.5,0.7676340082532206
3246,2020,10.5,0.7679376299724551
3246,2019,10.5,0.7681502412199388
3246,101447,10.5,0.767718496306053
3246,2421,10.5,0.7679705288935331
3246,2410,10.5,0.7682246581389628
3246,2005,10.5,0.768477903265286
3246,2399,10.5,0.7672224581285035
3246,111093,10.5,0.7674347769353291
3246,2409,10.5,0.7687033605343179
3246,2004,10.5,0.7689428228753916
3246,2818,10.5,0.7679967445140918
3246,1991,10.5,0.7694825499756829
3246,2398,10.5,0.7693053749690232
3246,1992,10.5,0.7674393469917038
3246,2400,10.5,0.7672138168424524
3246,1990,10.5,0.7700758577921987
3246,1989,10.5,0.7708418263384851
3246,120764,10.5,0.7711628213409272
3246,1977,10.5,0.772315492135991
3246,1978,10.5,0.7716431483177777
3246,2382,10.5,0.7722650542595386
3246,2381,10.5,0.7726998653189644
3246,2396,10.5,0.7729657778923681
3246,2380,10.5,0.7735786708913581
3246,2395,10.5,0.7736100786567919
3246,2806,10.5,0.7746353653907383
3246,122664,10.5,0.7742827482443985
3246,2342,10.5,0.774334982452641
3246,2359,10.5,0.7748096338430741
3246,2752,10.5,0.7748722740492399
3246,122157,10.5,0.7738051276201954
3246,2344,10.5,0.7739329783709472
3246,109860,10.5,0.7733864698654496
3246,117708,10.5,0.7740681103674133
3246,2343,10.5,0.7738605646362089
3246,1641,10.5,0.7683174728941504
3246,1631,10.5,0.768092774963861
3246,110012,10.5,0.7685556419807924
3246,1629,10.5,0.7688519303005641
3246,1628,10.5,0.7692803497770029
3246,1620,10.5,0.7699029590554068
3246,2401,10.5,0.7673436505233866
3246,1993,10.5,0.7676498268443419
3246,2006,10.5,0.7677027464260683
3246,119194,10.5,0.767761871904577
3246,118550,10.5,0.7702183914609749
3246,102210,10.5,0.7708572151126167
3246,99273,10.5,0.771599865725809
3246,1988,10.5,0.7723086542709464
3246,1987,10.5,0.7731905613371717
3246,1640,10.5,0.7689253191586346
3246,1630,10.5,0.7687315661856718
3246,1330,10.5,0.769275630688713
3246,118905,10.5,0.7694911128226474
3246,1331,10.5,0.7693181145728775
3246,114722,10.5,0.7687067661175668
3246,1632,10.5,0.7680981942588986
3246,1332,10.5,0.7692345875158861
3246,1329,10.5,0.7698847172728258
3246,113236,10.5,0.7700982018371842
3246,1319,10.5,0.7707874544683668
3246,1619,10.5,0.7708260772875604
3246,1318,10.5,0.7715958064061484
3246,1618,10.5,0.7716063475321978
3246,1617,10.5,0.772297274521205
3246,1317,10.5,0.7725225190727385
3246,98468,10.5,0.7729311635006488
3246,1316,10.5,0.7731684323237646
3246,1063,10.5,0.7697759495699131
3246,1333,10.5,0.7694987785710194
3246,1062,10.5,0.769805290953209
3246,1061,10.5,0.7700438450022691
3246,111431,10.5,0.7700162356377309
3246,107486,10.5,0.7709189382070545
3246,1328,10.5,0.7707713167169206
3246,1327,10.5,0.7715129138464545
3246,1060,10.5,0.7716320732101908
3246,1326,10.5,0.772317833687249
3246,117541,10.5,0.7721074959765345
3246,111585,10.5,0.7731517246116978
3246,103317,10.5,0.7728519625991521
3246,1325,10.5,0.773546877700301
3246,1616,10.5,0.7738520772531852
3246,1324,10.5,0.7741106973899352
3246,1076,10.5,0.7703346780961742
3246,1077,10.5,0.7702047280077386
3246,1075,10.5,0.7705772045367631
3246,836,10.5,0.7707812039218438
3246,1074,10.5,0.7710229321954517
3246,1059,10.5,0.7724676833135389
3246,834,10.5,0.7720439673483623
3246,832,10.5,0.7735673250649235
3246,833,10.5,0.7729126464112666
3246,835,10.5,0.771490108750011
3246,102567,10.5,0.7716294300458779
3246,847,10.5,0.772273318783508
3246,846,10.5,0.7729807399141095
3246,845,10.5,0.7737809423946163
3246,1073,10.5,0.7747061735258037
3246,844,10.5,0.7748583675632388
3246,1058,10.5,0.7737884813317135
3246,660,10.5,0.7755590940326849
3246,661,10.5,0.7746118233398389
3246,843,10.5,0.7756505672958811
3246,858,10.5,0.7761455533293145
3246,662,10.5,0.7739534214465609
3246,663,10.5,0.7733043734606609
3246,664,10.5,0.7727026268524426
3246,857,10.5,0.7766842505835856
3246,676,10.5,0.7766233417757631
3246,869,10.5,0.7772256270884972
3246,685,10.5,0.7775858627592669
3246,675,10.5,0.7779722081770077
3246,112252,10.5,0.7778862369660563
3246,102632,10.5,0.774663014752949
3246,101304,10.5,0.7740813562853374
3246,1072,10.5,0.7757515316162512
3246,849,10.5,0.7716407701866901
3246,848,10.5,0.7721105225314208
3246,100876,10.5,0.7712154597150853
3246,118281,10.5,0.7708535218383448
3246,1342,10.5,0.7700427066031696
3246,1353,10.5,0.7709263639517475
3246,117679,10.5,0.7749665653264575
3246,1057,10.5,0.7745189983950549
3246,1323,10.5,0.7748830939586088
3246,1642,10.5,0.7693282112169189
3246,1655,10.5,0.7703751606701648
3246,1085,10.5,0.7718076278113349
3246,1365,10.5,0.771995124364895
3246,1366,10.5,0.7714936239668523
3246,1098,10.5,0.7727723913271444
3246,1109,10.5,0.7731526223075493
3246,107573,10.5,0.7723757444906725
3246,1377,10.5,0.7722603484990347
3246,1669,10.5,0.7709515999743793
3246,1376,10.5,0.773358795710925
3246,1692,10.5,0.7734563763487923
3246,2053,10.5,0.7725457263669502
3246,2043,10.5,0.7715530527874624
3246,1627,10.5,0.7749001196994987
3246,1615,10.5,0.774131754168793
3246,1626,10.5,0.775036385629901
3246,1638,10.5,0.7756793237370316
3246,1637,10.5,0.7760694446789942
3246,1643,10.5,0.7685692350400124
3246,2007,10.5,0.7680567644292323
3246,1341,10.5,0.7766899417140953
3246,106432,10.5,0.7772168017252837
