Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
3143,4548,10.5,0.341995196551409
3143,4533,10.5,0.3430971567795382
3143,4549,10.5,0.3417753046641021
3143,5037,10.5,0.3430438957637909
3143,4532,10.5,0.34421303688359295
3143,5038,10.5,0.34063935714323246
3143,111737,10.5,0.3416560584891378
3143,102131,10.5,0.34067729402061175
3143,4087,10.5,0.34067850245532794
3143,4073,10.5,0.34308231983765713
3143,99242,10.5,0.34179784505244026
3143,5021,10.5,0.34446013858087254
3143,5571,10.5,0.3431046651360292
3143,5048,10.5,0.33985048909840865
3143,5586,10.5,0.3398312757787244
3143,5049,10.5,0.33937056169373436
3143,5593,10.5,0.33929623293583444
3143,4564,10.5,0.33987510419437716
3143,5050,10.5,0.33917968752949046
3143,5039,10.5,0.3387524164764011
3143,4565,10.5,0.3397374117600024
3143,105099,10.5,0.3389730177817867
3143,5040,10.5,0.33847646313712076
3143,110830,10.5,0.34198151646281616
3143,99097,10.5,0.3431557011521641
3143,5570,10.5,0.3445211347029107
3143,6131,10.5,0.3393216577428192
3143,5585,10.5,0.3398464041092353
3143,6122,10.5,0.33867967958578327
3143,6121,10.5,0.33910868262714666
3143,6684,10.5,0.33855614089179
3143,6110,10.5,0.3380046129572315
3143,5572,10.5,0.33810322036473184
3143,6675,10.5,0.3380812176081256
3143,6683,10.5,0.3389112565410839
3143,6108,10.5,0.3420857547125703
3143,6107,10.5,0.3431612860103931
3143,115812,10.5,0.34404754020064277
3143,110107,10.5,0.3427228650417653
3143,4074,10.5,0.3412303092245734
3143,118984,10.5,0.3405509085154056
3143,4550,10.5,0.3388106635787299
3143,4534,10.5,0.3381921835001157
3143,4076,10.5,0.3396823693105975
3143,3628,10.5,0.3448968381339582
3143,3635,10.5,0.3438824853450466
3143,100675,10.5,0.34218744892162845
3143,6109,10.5,0.3410800769840391
3143,113742,10.5,0.34100588522243414
3143,6119,10.5,0.3401629100192509
3143,5569,10.5,0.34425242218183427
3143,5556,10.5,0.3449398515794847
3143,4075,10.5,0.34126753975652935
3143,3636,10.5,0.3424655613937353
3143,6682,10.5,0.3395142978560065
3143,6120,10.5,0.33948495906742693
3143,6674,10.5,0.33878779200161335
3143,6681,10.5,0.34026172073735206
3143,6673,10.5,0.3396620369022114
3143,108017,10.5,0.3403532051658279
3143,6672,10.5,0.3410803735672896
3143,6093,10.5,0.33741465701482176
3143,6659,10.5,0.337033800840462
3143,107065,10.5,0.3380307713982691
3143,6658,10.5,0.3387484568960205
3143,7293,10.5,0.3396457277317938
3143,7305,10.5,0.34048642895680226
3143,7304,10.5,0.3414465630138237
3143,6671,10.5,0.3421100020933383
3143,6657,10.5,0.3422009941474513
3143,6670,10.5,0.34274013271479786
3143,6656,10.5,0.3427457434590414
3143,6092,10.5,0.3436128817976518
3143,6083,10.5,0.3360574457766561
3143,6645,10.5,0.33630900087765414
3143,6644,10.5,0.33759846193331244
3143,117645,10.5,0.3366982182965167
3143,7294,10.5,0.338740545993906
3143,7291,10.5,0.3419213243932453
3143,6643,10.5,0.3434017944954083
3143,7290,10.5,0.3425374867242925
3143,6071,10.5,0.33545816951421015
3143,6633,10.5,0.33692660526826723
3143,6634,10.5,0.3357540365841112
3143,7276,10.5,0.3382518869082938
3143,7272,10.5,0.343101271866628
3143,101713,10.5,0.3443790121271094
3143,6642,10.5,0.3440579470612275
3143,6632,10.5,0.3445383391838063
3143,6081,10.5,0.34479738970163476
3143,7271,10.5,0.3438284541298424
3143,119753,10.5,0.33524083681262196
3143,6626,10.5,0.33586205574513317
3143,6060,10.5,0.33501777219249884
3143,6625,10.5,0.33665708175104314
3143,7261,10.5,0.33783709140791596
3143,6614,10.5,0.3361493089444778
3143,109463,10.5,0.336646029021344
