Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
746,4548,10.5,-0.10710714465194116
746,4533,10.5,-0.106845157444315
746,4549,10.5,-0.107996845931289
746,5037,10.5,-0.10574840109243477
746,4532,10.5,-0.10544339828620597
746,5038,10.5,-0.10842460596589154
746,111737,10.5,-0.10653505132441499
746,102131,10.5,-0.10774633151841373
746,4087,10.5,-0.10907399308428678
746,4073,10.5,-0.1074406037789537
746,99242,10.5,-0.1085107227410238
746,5021,10.5,-0.1044090034056111
746,5571,10.5,-0.10503129823690194
746,5048,10.5,-0.10920761499071774
746,5586,10.5,-0.10866470689564123
746,5049,10.5,-0.10968971573547925
746,5593,10.5,-0.10927017379297643
746,4564,10.5,-0.10980637557058115
746,5050,10.5,-0.11024727645411603
746,5039,10.5,-0.10995145546960061
746,4565,10.5,-0.11043936819770273
746,105099,10.5,-0.11090139680274014
746,5040,10.5,-0.1106668079002231
746,110830,10.5,-0.1055416424885931
746,99097,10.5,-0.10424741244152957
746,5570,10.5,-0.10354121794089854
746,6131,10.5,-0.10881097013559571
746,5585,10.5,-0.10805641834225055
746,6122,10.5,-0.10936152939549104
746,6121,10.5,-0.10859036918575882
746,6684,10.5,-0.10893619636730434
746,6110,10.5,-0.10957191005765865
746,5572,10.5,-0.11003920555825619
746,6675,10.5,-0.1088860989673095
746,6683,10.5,-0.10827747761385242
746,6108,10.5,-0.10477874949328969
746,6107,10.5,-0.10350992264408188
746,115812,10.5,-0.10324135698645498
746,110107,10.5,-0.108284301755871
746,4074,10.5,-0.10932369433155209
746,118984,10.5,-0.10730891652208596
746,4550,10.5,-0.11148617589931087
746,4534,10.5,-0.1113175398177415
746,4076,10.5,-0.11100578841143594
746,3628,10.5,-0.10656475267261567
746,3635,10.5,-0.10804574134595124
746,100675,10.5,-0.10910789670278831
746,6109,10.5,-0.1059824703796779
746,113742,10.5,-0.106566804536671
746,6119,10.5,-0.1071734065638339
746,5569,10.5,-0.10261819285327123
746,5556,10.5,-0.10261322761832847
746,4075,10.5,-0.10988208472066407
746,3636,10.5,-0.10941779053874656
746,6682,10.5,-0.10742257184678228
746,6120,10.5,-0.1079150187506297
746,6674,10.5,-0.1078465746010302
746,6681,10.5,-0.10647662621787468
746,6673,10.5,-0.10670521288910417
746,108017,10.5,-0.10604657545510765
746,6672,10.5,-0.10536368055149659
746,6093,10.5,-0.10970430058956304
746,6659,10.5,-0.10938117000621705
746,107065,10.5,-0.10830611055203909
746,6658,10.5,-0.10730750312334636
746,7293,10.5,-0.10614406939248577
746,7305,10.5,-0.10557743705489941
746,7304,10.5,-0.10449006296177332
746,6671,10.5,-0.10416056224219594
746,6657,10.5,-0.10369087121295162
746,6670,10.5,-0.10335493796754025
746,6656,10.5,-0.10294208329051968
746,6092,10.5,-0.10249914874731547
746,6083,10.5,-0.11025612406652052
746,6645,10.5,-0.1092894834514988
746,6644,10.5,-0.10807867494424106
746,117645,10.5,-0.11031261692125938
746,7294,10.5,-0.10681565776718305
746,7291,10.5,-0.10361601991420066
746,6643,10.5,-0.10202266147739603
746,7290,10.5,-0.10265896574955269
746,6071,10.5,-0.11017063239416403
746,6633,10.5,-0.10803782862838296
746,6634,10.5,-0.10906701403781915
746,7276,10.5,-0.10681999700978251
746,7272,10.5,-0.10168898568242324
746,101713,10.5,-0.10140979781222947
746,6642,10.5,-0.1010745707307894
746,6632,0.05,-0.0851245039059152
746,6081,10.5,-0.10058881555340737
746,7271,0.05,-0.032485633817046944
746,119753,10.5,-0.10918057536327797
746,6626,10.5,-0.10825204834685187
746,6060,10.5,-0.10999001973901645
746,6625,10.5,-0.10769349528768779
746,7261,10.5,-0.10666385530472366
746,6614,10.5,-0.10745711336846275
746,109463,10.5,-0.1072475432396236
746,6615,10.5,-0.10864277738568195
746,7246,10.5,-0.10645165235035248
746,5557,10.5,-0.1102531058631433
746,98729,10.5,-0.10193261297857403
746,6084,10.5,-0.11080639155797511
746,6072,10.5,-0.11095785003809544
746,6069,10.5,-0.10005071567501878
746,6082,10.5,-0.10061742362949455
746,5537,10.5,-0.1113199345380198
746,6061,10.5,-0.11076932647263882
746,5546,10.5,-0.11129192678661215
746,103992,10.5,-0.11142002618575408
746,5525,10.5,-0.11115288401080492
746,102221,10.5,-0.11054909457762907
746,6049,10.5,-0.10973048178954947
746,6050,10.5,-0.11024785208820953
746,6604,10.5,-0.10939020233309171
746,116601,10.5,-0.11047198149067561
746,103259,10.5,-0.1106980335448966
746,5012,10.5,-0.10214763716712416
746,5020,10.5,-0.10310893880089611
746,5555,10.5,-0.10176562412148105
746,5558,10.5,-0.11096821670002233
746,5545,10.5,-0.10066531249423982
746,5006,10.5,-0.10064431558777387
746,121420,10.5,-0.10118335265840916
746,5013,10.5,-0.11153558122598928
746,5007,10.5,-0.11168867184334785
746,100343,10.5,-0.100457530015988
746,4997,10.5,-0.09974800673055095
746,5536,10.5,-0.0998143590598326
