Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
2472,4548,10.5,0.15621001043480454
2472,4533,10.5,0.15729939627292222
2472,4549,10.5,0.15637435393242616
2472,5037,10.5,0.15678641034211493
2472,4532,10.5,0.1578959642859704
2472,5038,10.5,0.1553566121580071
2472,111737,10.5,0.15564951818909145
2472,102131,10.5,0.15512882038988984
2472,4087,10.5,0.15569638144616005
2472,4073,10.5,0.15756177196130272
2472,99242,10.5,0.15664953239160784
2472,5021,10.5,0.1577496237048568
2472,5571,10.5,0.15658491313051193
2472,5048,10.5,0.15489546189629178
2472,5586,10.5,0.15464337908030135
2472,5049,10.5,0.1546319071276373
2472,5593,10.5,0.15437079788486074
2472,4564,10.5,0.1552089624652242
2472,5050,10.5,0.15471829887006217
2472,5039,10.5,0.15413680007907815
2472,4565,10.5,0.1554308716617634
2472,105099,10.5,0.15489846035874566
2472,5040,10.5,0.1542350279716137
2472,110830,10.5,0.1556479400569466
2472,99097,10.5,0.1563789718744537
2472,5570,10.5,0.15749856747334445
2472,6131,10.5,0.15419666498806117
2472,5585,10.5,0.15441460585191868
2472,6122,10.5,0.15379604555701165
2472,6121,10.5,0.1538968167487087
2472,6684,10.5,0.1534986435993121
2472,6110,10.5,0.15322612516285627
2472,5572,10.5,0.1535444804177436
2472,6675,10.5,0.1530151491074745
2472,6683,10.5,0.15358898884918637
2472,6108,10.5,0.15551716294140705
2472,6107,10.5,0.15616511923571408
2472,115812,10.5,0.1569441110496309
2472,110107,10.5,0.15758726231202602
2472,4074,10.5,0.15644142929667315
2472,118984,10.5,0.1548322813380304
2472,4550,10.5,0.15515094503476146
2472,4534,10.5,0.15436850622279286
2472,4076,10.5,0.15575612631745817
2472,3628,10.5,0.15923148013670507
2472,3635,10.5,0.15886378312166494
2472,100675,10.5,0.15744614093545817
2472,6109,10.5,0.15492200307354942
2472,113742,10.5,0.15503006777713735
2472,6119,10.5,0.1544145453764616
2472,5569,10.5,0.15693597173672236
2472,5556,10.5,0.15762305172511049
2472,4075,10.5,0.1568350065884011
2472,3636,10.5,0.15799318560425746
2472,6682,10.5,0.15387696429268838
2472,6120,10.5,0.15401441022272255
2472,6674,10.5,0.15331943841140427
2472,6681,10.5,0.15429196088827846
2472,6673,10.5,0.1537850489729986
2472,108017,10.5,0.15424164865511103
