Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
4562,4548,10.5,0.6012212009472613
4562,4533,10.5,0.6010999064473057
4562,4549,10.5,0.6008258051852202
4562,5037,10.5,0.6016949860127134
4562,4532,10.5,0.6015518537681874
4562,5038,10.5,0.6008976845263405
4562,111737,10.5,0.6016414905445011
4562,102131,10.5,0.6012660290780294
4562,4087,10.5,0.6005550360331522
4562,4073,10.5,0.6008023845631456
4562,99242,10.5,0.6005647882125627
4562,5021,10.5,0.6020458434014082
4562,5571,10.5,0.6020779106430942
4562,5048,10.5,0.6007178133687332
4562,5586,10.5,0.6010135695343131
4562,5049,10.5,0.600612510668878
4562,5593,10.5,0.6008566176236066
4562,4564,10.5,0.6004081353227022
4562,5050,10.5,0.6003943646441436
4562,5039,10.5,0.6006680448997159
4562,4565,10.5,0.6001611521554612
4562,105099,10.5,0.600169459386094
4562,5040,10.5,0.6004110828523075
4562,110830,10.5,0.602136443172794
4562,99097,10.5,0.602528570307074
4562,5570,10.5,0.6025100592336036
4562,6131,10.5,0.6010892354831414
4562,5585,10.5,0.6013412326645664
4562,6122,10.5,0.6009938585848176
4562,6121,10.5,0.6012733645355294
4562,6684,10.5,0.6012575920638121
4562,6110,10.5,0.6010885047639306
4562,5572,10.5,0.6008297691155287
4562,6675,10.5,0.6014292212642917
4562,6683,10.5,0.601511011856255
4562,6108,10.5,0.6025716589651819
4562,6107,10.5,0.6029832828810516
4562,115812,10.5,0.602853045302551
4562,110107,10.5,0.6004734484551506
4562,4074,10.5,0.6003065219447332
4562,118984,10.5,0.60154194815971
4562,4550,10.5,0.5999965203157507
4562,4534,10.5,0.6002340511635087
4562,4076,10.5,0.5999488228207099
4562,3628,10.5,0.6008715702220724
4562,3635,10.5,0.6003786071662351
4562,100675,10.5,0.6002150692493065
4562,6109,10.5,0.6021747252318828
4562,113742,10.5,0.601838119982499
4562,6119,10.5,0.6017533520653255
4562,5569,10.5,0.6031467735523154
4562,5556,10.5,0.6029447226016265
4562,4075,10.5,0.6000584038092897
4562,3636,10.5,0.6000303154914473
4562,6682,10.5,0.6018212101742298
4562,6120,10.5,0.6015376313632504
4562,6674,10.5,0.6017993958166447
4562,6681,10.5,0.6021469362728913
4562,6673,10.5,0.6021991928312853
4562,108017,10.5,0.6023715151214222
4562,6672,10.5,0.6025535592157353
4562,6093,10.5,0.601202189075984
4562,6659,10.5,0.6014822359358163
4562,107065,10.5,0.6017604915260937
4562,6658,10.5,0.6021224933592464
4562,7293,10.5,0.6025399297637115
4562,7305,10.5,0.602620537768582
4562,7304,10.5,0.6029747699233488
4562,6671,10.5,0.6029472462711298
4562,6657,10.5,0.6032138285189437
4562,6670,10.5,0.60323482347943
4562,6656,10.5,0.6034992046509665
4562,6092,10.5,0.6034620201426497
4562,6083,10.5,0.6013700714391162
4562,6645,10.5,0.601738833228227
4562,6644,10.5,0.6020068613795859
4562,117645,10.5,0.6011515372988452
4562,7294,10.5,0.6024067324645969
4562,7291,10.5,0.6033582391255352
4562,6643,10.5,0.6038443855697766
4562,7290,10.5,0.6037513231239342
4562,6071,10.5,0.6015999168817876
4562,6633,10.5,0.6022188326209237
4562,6634,10.5,0.6020223538581053
4562,7276,10.5,0.6025379158896319
4562,7272,10.5,0.6041644465205711
4562,101713,10.5,0.6038728017492283
4562,6642,10.5,0.6042090048304547
