Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Variance Explained Coarse
743,4548,10.5,-0.49594640469001794
743,4533,10.5,-0.49526207278392254
743,4549,10.5,-0.4967454679866532
743,5037,10.5,-0.4943965145284781
743,4532,10.5,-0.4936592596937657
743,5038,10.5,-0.49756153355887434
743,111737,10.5,-0.4956096073666376
743,102131,10.5,-0.49699259123823003
743,4087,10.5,-0.49805603644294716
743,4073,10.5,-0.49573641211098574
743,99242,10.5,-0.49713484688369936
743,5021,10.5,-0.49270600910607754
743,5571,10.5,-0.49377328824916544
743,5048,10.5,-0.49850020678759277
743,5586,10.5,-0.4980730314957067
743,5049,10.5,-0.49906957400851515
743,5593,10.5,-0.4987654733984883
743,4564,10.5,-0.4989568596484859
743,5050,10.5,-0.49957582981536386
743,5039,10.5,-0.49951544514641677
743,4565,10.5,-0.49948607351220664
743,105099,10.5,-0.5001421689685455
743,5040,10.5,-0.5001697433171481
743,110830,10.5,-0.4946358113143645
743,99097,10.5,-0.49308052478727604
743,5570,10.5,-0.491953576533678
743,6131,10.5,-0.4983877033849198
743,5585,10.5,-0.49757050571122186
743,6122,10.5,-0.49907612499398746
743,6121,10.5,-0.498288514921857
743,6684,10.5,-0.4987765848093284
743,6110,10.5,-0.49949746216989666
743,5572,10.5,-0.4998286096200071
743,6675,10.5,-0.4989088359288114
743,6683,10.5,-0.49809962454900725
743,6108,10.5,-0.49393248384230404
743,6107,10.5,-0.492432260331511
743,115812,10.5,-0.49187081550630696
743,110107,10.5,-0.49654527653452796
743,4074,10.5,-0.4980059183370995
743,118984,10.5,-0.49668113726733476
743,4550,10.5,-0.5006186662976824
743,4534,10.5,-0.5007511826718898
743,4076,10.5,-0.4999151373073132
743,3628,10.5,-0.4942242320413306
743,3635,10.5,-0.49581687967333177
743,100675,10.5,-0.49740495864170464
743,6109,10.5,-0.4953456112039245
743,113742,10.5,-0.495879358767759
743,6119,10.5,-0.49670821227359485
743,5569,10.5,-0.49125722532783933
743,5556,10.5,-0.4909891031967364
743,4075,10.5,-0.49839873740335827
743,3636,10.5,-0.4974987258427719
743,6682,10.5,-0.49715415246094397
743,6120,10.5,-0.49758494295062183
743,6674,10.5,-0.49777842623974466
743,6681,10.5,-0.49606883449526396
743,6673,10.5,-0.49648240353840634
743,108017,10.5,-0.4956623754745997
743,6672,10.5,-0.4948044857170313
743,6093,10.5,-0.499816986698278
743,6659,10.5,-0.4996899406596047
743,107065,10.5,-0.49844084212294826
743,6658,10.5,-0.4973291066700909
743,7293,10.5,-0.4959979009008064
743,7305,10.5,-0.4952018180602864
743,7304,10.5,-0.49390199993603834
743,6671,10.5,-0.49337883578336617
743,6657,10.5,-0.4929280427776863
743,6670,10.5,-0.4924408240559568
743,6656,10.5,-0.4920688283328549
743,6092,10.5,-0.49137426596981704
743,6083,10.5,-0.5007214927360966
743,6645,10.5,-0.49986066040641797
743,6644,10.5,-0.49840100116664954
743,117645,10.5,-0.5005459673058794
743,7294,10.5,-0.49690619203905273
743,7291,10.5,-0.4929586171335778
743,6643,10.5,-0.49102061785436013
743,7290,10.5,-0.4918881358506262
743,6071,10.5,-0.5008460731259177
743,6633,10.5,-0.49859439025543084
743,6634,10.5,-0.4998524774336348
743,7276,10.5,-0.4970819353835949
743,7272,0.05,-0.4695889549569594
743,101713,10.5,-0.4901370133259728
743,6642,10.5,-0.48994647099935507
743,6632,0.05,-0.41478961564636285
743,6081,10.5,-0.4892608411228534
743,7271,0.05,-0.3488824133147477
743,119753,10.5,-0.5000948936283172
743,6626,10.5,-0.4991164091248179
743,6060,10.5,-0.5008255277479328
743,6625,10.5,-0.4983794180168033
743,7261,10.5,-0.49708415381044646
743,6614,10.5,-0.49833062451103327
743,109463,10.5,-0.49798804494153437
743,6615,10.5,-0.49965397723395566
743,7246,10.5,-0.49699382393177194
743,5557,10.5,-0.500263442385303
743,98729,10.5,-0.49055365296346554
743,6084,10.5,-0.501109601659566
743,6072,10.5,-0.5014203464623759
743,6069,10.5,-0.48864452186064766
743,6082,10.5,-0.4891494138912098
743,5537,10.5,-0.5017473063198694
743,6061,10.5,-0.5014269866239269
743,5546,10.5,-0.5015005123963774
743,103992,10.5,-0.5017002435424704
743,5525,10.5,-0.501726078800085
743,102221,10.5,-0.5013610226302228
743,6049,10.5,-0.5006951505582011
743,6050,10.5,-0.5012053974906479
743,6604,10.5,-0.5004714683280056
743,116601,10.5,-0.5001497627492206
743,103259,10.5,-0.5005532018367971
743,5012,10.5,-0.4900980505351662
743,5020,10.5,-0.49107776506837997
743,5555,10.5,-0.49005198905487846
743,5558,10.5,-0.501051211896318
743,5545,10.5,-0.4887420373478111
743,5006,10.5,-0.48828654273081873
743,121420,10.5,-0.48963809653861956
743,5013,10.5,-0.5014946450369318
743,5007,10.5,-0.50175197789822
743,100343,10.5,-0.4887649991564118
743,4997,10.5,-0.48741938138022567
743,5536,10.5,-0.4878420042348599
743,5526,10.5,-0.5018251558371114
743,4998,10.5,-0.5018367284022152
743,5524,10.5,-0.48708431460445034
743,4985,10.5,-0.48652676963529884
743,6070,10.5,-0.4881173240811678
743,4987,10.5,-0.5017814024120568
743,4977,10.5,-0.5017197277903835
743,5515,10.5,-0.5017604700133655
743,5514,10.5,-0.5016447623156812
743,5504,10.5,-0.5017034425150151
743,116504,10.5,-0.5016526815278528
743,6038,10.5,-0.5015097704170095
743,5505,10.5,-0.5016170419899804
743,5492,10.5,-0.5016355493115354
743,5493,10.5,-0.5015648967344983
743,5480,10.5,-0.5015552304464701
743,6023,10.5,-0.5014418218636449
743,5022,10.5,-0.5007297094321586
743,4527,10.5,-0.5013739265642432
743,106287,10.5,-0.5010975480110942
743,4531,10.5,-0.49129060285193504
743,4526,10.5,-0.4895227910641986
743,5008,10.5,-0.501729836826954
743,4525,10.5,-0.48794343163047404
743,4511,10.5,-0.5017581754818419
743,4999,10.5,-0.5018117606879631
743,4528,10.5,-0.5016402181015855
743,4996,10.5,-0.48653187176497736
743,4521,10.5,-0.48648306722940116
743,5000,10.5,-0.5016584787114267
743,4512,10.5,-0.5016592821461248
743,4510,10.5,-0.4860287215514074
743,4520,10.5,-0.48522511875888186
743,4509,10.5,-0.48468606312950824
743,4988,10.5,-0.5015445405502694
743,105460,10.5,-0.4855254833149134
743,4986,10.5,-0.485345092255123
743,5513,10.5,-0.48607454715981757
743,4978,10.5,-0.5015349877726398
743,4089,10.5,-0.4992074234497126
743,4088,10.5,-0.4988697741803587
743,122070,10.5,-0.4984728433936776
743,4077,10.5,-0.5003925540549954
743,4535,10.5,-0.501280321729682
743,4068,10.5,-0.5010500618624154
743,4061,10.5,-0.5014790877076902
743,4067,10.5,-0.4937570928903978
743,4066,10.5,-0.49144065126904324
743,4065,10.5,-0.48914727023595317
743,4052,10.5,-0.5016490892089882
743,98859,10.5,-0.4871942569101104
743,4058,10.5,-0.4857326290566897
743,112746,10.5,-0.48473904818560243
743,4039,10.5,-0.48318215065529646
743,4040,10.5,-0.5014025569084131
743,4500,10.5,-0.5014798113278962
743,4053,10.5,-0.5015507860242496
743,4031,10.5,-0.48464004746793354
743,4030,10.5,-0.4829999650210963
743,118316,10.5,-0.4824018209973091
743,4032,0.6897959183673469,-0.44047446789983913
743,4501,0.6897959183673469,-0.4353956600410467
743,3646,10.5,-0.49850688158144485
743,3647,10.5,-0.49904215185082657
743,4090,10.5,-0.49965391568748996
743,3630,10.5,-0.5007390263652052
743,115869,10.5,-0.5001662000586538
743,3622,10.5,-0.5011494949266466
743,98939,10.5,-0.4915206986060605
743,4060,10.5,-0.48895443842267117
743,4059,10.5,-0.4865311526788094
743,4062,10.5,-0.501467346870708
743,3623,10.5,-0.5011387118662505
743,3621,10.5,-0.4862385942745566
743,3627,10.5,-0.4888489564290346
743,4051,10.5,-0.48457862057720247
743,3616,10.5,-0.4834208455727542
743,4050,10.5,-0.48341463807989316
743,3617,10.5,-0.5012556386006448
743,4054,10.5,-0.5012859445561741
743,3615,10.5,-0.4818210834239307
743,3604,10.5,-0.48102026185352775
743,3605,0.4765306122448979,-0.49517083876695156
743,3603,10.5,-0.4804474828967069
743,4502,0.6897959183673469,-0.46977012957142317
743,4033,10.5,-0.5009583105937951
743,4022,10.5,-0.483219171747606
743,4498,10.5,-0.4846853010532106
743,117499,10.5,-0.48403964965292245
