Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer,Source Eccentricity,Source Polar Angle
6747,3618,0.6897959183673469,0.6796914859693877,0.5947723283383897,0.595266536707614,5.2303377649607645,2.4464679215155525
7407,4054,0.6897959183673469,0.6973405612244898,0.5685284864203886,0.5687228997295928,5.836336781788932,2.521572300733897
7370,4054,0.6897959183673469,0.7010455197704082,0.6131363627855619,0.6135457699161218,5.836336781788932,2.521572300733897
6732,3618,0.6897959183673469,0.7174147002551019,0.7068809009382748,0.7101317812281933,5.2303377649607645,2.4464679215155525
6170,3618,0.6897959183673469,0.7084554368622449,0.6515955759527601,0.6533874280407937,5.2303377649607645,2.4464679215155525
98910,3618,0.6897959183673469,0.7370172991071431,0.6724639696352829,0.6808176876793129,5.2303377649607645,2.4464679215155525
6169,4032,0.903061224489796,0.9048250159438777,0.6278862206438575,0.6278971660148394,6.321066413943334,2.4470655494196776
7387,4053,0.6897959183673469,0.6771316964285714,0.8031757763884941,0.8032671857874539,6.038163371918044,2.6682136134183927
8012,4040,0.903061224489796,0.8414167131696426,0.7138274229024597,0.7211929366803015,6.754302747079921,2.5252230669306566
120785,4054,0.6897959183673469,0.7420695153061225,0.6686524608766216,0.6737998471056705,5.836336781788932,2.521572300733897
7406,3582,0.4765306122448979,0.5391683274872451,0.7741808745080905,0.7776807277174751,5.939267659571597,-3.020421221499611
8044,2737,0.05,0.05,0.8553365026776334,0.8553365026776334,5.048186662776035,-2.8967819791439897
8030,6083,1.3295918367346935,1.336213827327806,0.895177359084586,0.89518291676505,7.782816487289427,2.732788403762521
8011,4512,0.903061224489796,0.9146140585140304,0.8247368583438806,0.8248131618851977,7.033193182782317,2.626653918893961
6767,3159,0.6897959183673469,0.6312575733418366,0.7678449160124067,0.7708695061561631,5.590700032670979,3.061893928184842
6766,103373,0.05,0.05,0.8495963060057143,0.8495963060057143,5.242001265493324,-2.907729380081874
7405,2737,0.2632653061224489,0.2387898596938775,0.8628803971243009,0.8629150627228164,5.048186662776035,-2.8967819791439897
6182,7163,3.035714285714285,3.034009660993303,0.7985769130599225,0.798576965843809,6.660357036109862,2.303604873463441
8662,5546,1.1163265306122447,1.146306002869898,0.8916571996108691,0.8917484130511842,7.237598833616125,2.7305992628274467
7355,4040,0.903061224489796,0.8594073860012754,0.7356506887220959,0.7393207739805843,6.754302747079921,2.5252230669306566
7995,6061,0.2632653061224489,0.2649107142857143,0.772672863772305,0.7726729388559657,6.55232520496556,2.635272793203059
119816,108017,1.3295918367346935,1.3264756058673468,0.9282622387258904,0.928264179808395,6.256181922566086,2.9479940322516476
8010,113742,1.1163265306122447,1.150775669642857,0.945826756609858,0.94607266781628,6.2467451130794185,2.9565514743548014
8661,5557,1.1163265306122447,1.0832946029974486,0.933915203267627,0.9341036748733288,6.51657540837225,2.85603187719341
7386,6672,1.3295918367346935,1.2828483737244896,0.906475948852789,0.9068783388308584,6.312341126839131,2.956273082335739
8649,5022,0.903061224489796,0.8191929408482144,0.9327945738019344,0.9336937104587336,6.134121931472604,2.8355060153564864
7994,6131,0.903061224489796,0.9336630062181122,0.951495808845319,0.951624882986446,6.178555668596946,2.908740076671813
8650,5007,0.903061224489796,0.9262550821109692,0.8623615102889667,0.8624022025340756,7.029434198796839,2.713552443186747
109674,3605,0.903061224489796,0.8909792530293366,0.7414399369290308,0.7418923609710586,5.6956395227108825,2.4445851322208383
6709,4054,0.903061224489796,0.8748405612244898,0.8536048606110604,0.8549656950304252,5.836336781788932,2.521572300733897
6717,3605,0.903061224489796,0.9169069874043368,0.8196466917193085,0.8202134757345555,5.6956395227108825,2.4445851322208383
114412,4040,0.903061224489796,0.9115274234693878,0.8213786167478332,0.8214986461955842,6.754302747079921,2.5252230669306566
7343,5525,0.4765306122448979,0.4652688536352041,0.7818728895656489,0.7819043676022872,6.577972192503366,2.6458086936443395
7342,4512,0.903061224489796,0.9046486367984694,0.8419662792427277,0.8419681336227931,7.033193182782317,2.626653918893961
6708,4500,1.1163265306122447,1.133878148915816,0.8710943235238593,0.8712983984826683,7.195708236560042,2.516329994943399
8029,5570,1.1163265306122447,1.044702845982143,0.9304022483104591,0.93119440102438,6.356502477733564,3.059871597744507
9296,106287,0.6897959183673469,0.7488058035714287,0.9282520104883312,0.928439070382219,6.51723272903749,2.823007981749529
8635,6072,0.05,0.05,0.8371967228895241,0.8371967228895241,7.225217431338293,2.6788720376487207
119882,6061,0.05,0.05,0.8018404844596995,0.8018404844596995,6.55232520496556,2.635272793203059
9295,4564,0.4765306122448979,0.5612264827806124,0.945315808508886,0.945693417862845,5.9755677766475666,2.8790901867521295
9283,5546,0.6897959183673469,0.6623792251275509,0.884033464394371,0.8840956936961987,7.237598833616125,2.7305992628274467
119874,103992,0.05,0.05,0.8099262725080018,0.8099262725080018,7.027083134588687,2.6817204040821934
102445,5537,0.2632653061224489,0.3759243463010202,0.8071605860657141,0.8075769826274054,6.499628028928259,2.6368462388482414
104832,5537,0.4765306122448979,0.4312043606505101,0.7992524815019747,0.799418791878094,6.499628028928259,2.6368462388482414
7369,5555,1.1163265306122447,1.0598015983737246,0.9278261891249096,0.9284134857648914,7.7162615880061285,3.076641308457849
8009,5570,0.903061224489796,0.9923972616390306,0.9306931801098306,0.931981017862332,6.356502477733564,3.059871597744507
7385,5555,1.1163265306122447,1.1218318518813777,0.9237971387426736,0.9238028986230016,7.7162615880061285,3.076641308457849
7993,5021,0.903061224489796,0.883747708067602,0.9341420550686296,0.9342073356719018,5.954372575580785,3.036339683867775
7992,98729,1.1163265306122447,1.1171441525829082,0.927144509487443,0.927144676938015,7.778415509662188,2.9994736986912507
7978,111737,0.903061224489796,0.9326929209183672,0.9409903856085476,0.9411661916953394,6.254684830369163,2.9643396311439694
8634,5048,0.4765306122448979,0.5474517697704082,0.9527611627375628,0.9530580658078752,6.138078729634237,2.911230945949989
115434,6107,1.1163265306122447,1.0560950454400508,0.9269777517855188,0.9276340474849376,6.917062400841907,3.0092044700052316
7354,6069,1.1163265306122447,1.0769716597576526,0.8827325338104011,0.8833511989538382,6.61028022808615,2.6511449983934674
7991,6632,1.1163265306122447,1.1421088767538263,0.8951924498693262,0.8954477542592695,6.561011951636345,2.6596099478985007
7368,6069,1.1163265306122447,1.152683454241071,0.902846204496265,0.9032799355733928,6.61028022808615,2.6511449983934674
104031,7271,1.1163265306122447,1.1467420679209182,0.892315605404103,0.8926696058382465,6.497816651327652,2.6750455246609524
7353,6069,0.903061224489796,0.9340157645089284,0.7924983437180035,0.793439546930187,6.61028022808615,2.6511449983934674
7977,6632,1.1163265306122447,1.0242077885841838,0.8264390542054754,0.8305566361094007,6.561011951636345,2.6596099478985007
109101,110830,0.903061224489796,0.9774932238520408,0.9368254506117452,0.937802814369564,6.348130246640996,2.97445985627712
8633,5048,0.05,0.05,0.9484760596555168,0.9484760596555168,6.138078729634237,2.911230945949989
7965,7271,0.903061224489796,0.9714081433354592,0.8018173760847922,0.8054403094832763,6.497816651327652,2.6750455246609524
7341,98729,0.05,0.05,0.7103179438265939,0.7103179438265939,7.778415509662188,2.9994736986912507
7976,3582,0.2632653061224489,0.3799350286989793,0.6828271743418013,0.6901239389815055,5.939267659571597,-3.020421221499611
7340,3159,0.4765306122448979,0.4549378188775509,0.5936725272080213,0.5955923254448218,5.590700032670979,3.061893928184842
7975,3582,0.05,0.05,0.574345431687173,0.574345431687173,5.939267659571597,-3.020421221499611
8617,3582,0.2632653061224489,0.3836886160714282,0.6860012871069104,0.6933956017173475,5.939267659571597,-3.020421221499611
8616,3582,0.05,0.05,0.6251091770134198,0.6251091770134198,5.939267659571597,-3.020421221499611
7339,3159,0.4765306122448979,0.435578762755102,0.564061053239888,0.5715213288142731,5.590700032670979,3.061893928184842
7974,3582,0.05,0.05,0.5863854790829628,0.5863854790829628,5.939267659571597,-3.020421221499611
8615,3582,0.05,0.05,0.6024621478653329,0.6024621478653329,5.939267659571597,-3.020421221499611
7990,3159,0.4765306122448979,0.4486088966836734,0.5990158690039951,0.6023782144844183,5.590700032670979,3.061893928184842
8631,3582,0.05,0.05,0.6384027686042593,0.6384027686042593,5.939267659571597,-3.020421221499611
8648,3582,0.05,0.05,0.6012850689063802,0.6012850689063802,5.939267659571597,-3.020421221499611
8618,7271,0.903061224489796,0.9386898118622448,0.7921113600345047,0.7932204657628692,6.497816651327652,2.6750455246609524
8632,102609,1.1163265306122447,1.1510482102997448,0.9078212795854445,0.9081148354641224,6.508757960464147,2.657537520368562
7404,5555,1.1163265306122447,1.1848977598852035,0.8942058848563917,0.8951024041482594,7.7162615880061285,3.076641308457849
7420,100343,1.3295918367346935,1.3558201132015304,0.8764464251130001,0.8765609386958131,6.585866764309838,2.652036684904332
6765,5556,1.1163265306122447,1.1712707270408165,0.9033236973741534,0.9038349359613056,7.718254096246286,3.0725071385744007
6764,98729,1.3295918367346935,1.2945991609534435,0.9135516241779964,0.9137391380319108,7.778415509662188,2.9994736986912507
6746,5536,1.1163265306122447,1.153065011160714,0.9201608356585972,0.920513607590508,8.295593067929094,2.760345382202793
6731,6070,1.1163265306122447,1.1561719746492347,0.911857329233639,0.91233896654645,6.691049587438351,2.637019572937493
6730,6069,1.1163265306122447,1.092233936543367,0.8727316011784444,0.8729338234855926,6.61028022808615,2.6511449983934674
7367,5524,0.903061224489796,0.9490961814413266,0.8434417635117406,0.8447773854822858,6.66879256695648,2.6287606580174536
6729,4975,1.1163265306122447,1.035327447385204,0.8500123895798871,0.8528990166001338,6.670409666765734,2.6289053274907257
7366,3159,0.6897959183673469,0.5806006855867345,0.7539570224531954,0.7704441345355655,5.590700032670979,3.061893928184842
7352,3159,0.4765306122448979,0.4636866230867346,0.6456978630621959,0.6463842198172498,5.590700032670979,3.061893928184842
6728,3159,0.4765306122448979,0.5468002630739798,0.7537139266274432,0.7683006932447665,5.590700032670979,3.061893928184842
7365,3159,0.4765306122448979,0.4746691645408162,0.6973910031805103,0.6974054430110892,5.590700032670979,3.061893928184842
6727,3159,0.4765306122448979,0.4890953842474489,0.7307069684880236,0.7313178645431386,5.590700032670979,3.061893928184842
7364,3159,0.4765306122448979,0.4446998565051019,0.6659864303496914,0.6706925578620092,5.590700032670979,3.061893928184842
107905,3159,0.2632653061224489,0.399937021683673,0.544769864378946,0.5691408551140067,5.590700032670979,3.061893928184842
119042,3159,0.4765306122448979,0.5042661830357142,0.749383061481047,0.7521984205525721,5.590700032670979,3.061893928184842
8008,3159,0.4765306122448979,0.4221763392857142,0.6000171704251145,0.614397532846624,5.590700032670979,3.061893928184842
7350,3159,0.4765306122448979,0.4109145806760204,0.5558618486199423,0.5769714351686632,5.590700032670979,3.061893928184842
7384,3159,0.4765306122448979,0.4624766820790815,0.6981576941587171,0.6990258870107362,5.590700032670979,3.061893928184842
7351,3159,0.4765306122448979,0.409332350127551,0.537899742795604,0.5597896259894869,5.590700032670979,3.061893928184842
99704,3159,0.4765306122448979,0.4343688217474489,0.5829385854402473,0.5910992003197822,5.590700032670979,3.061893928184842
7333,4977,1.1163265306122447,1.148104771205357,0.8625607987846499,0.8629857644615664,6.572819404715515,2.6432773167670334
7979,5526,1.1163265306122447,1.0324930245535715,0.8589431056395027,0.8606349915850455,6.529858439734765,2.6357012004357414
7332,4978,1.1163265306122447,1.0952318837691324,0.8208603224005848,0.8212189196497688,6.125997524359254,2.471352000086498
6703,4978,1.1163265306122447,1.138892897002551,0.8439429741347361,0.8443165932762202,6.125997524359254,2.471352000086498
7967,5504,1.1163265306122447,1.1704531050701528,0.8633483601381529,0.8646111387113176,6.652612876881011,2.6232982145001675
7321,4500,0.903061224489796,0.9042958785076533,0.8054446502602517,0.8054476830972674,7.195708236560042,2.516329994943399
6702,4500,0.903061224489796,0.9173479352678572,0.8294884337163024,0.8298625872074192,7.195708236560042,2.516329994943399
7966,4988,0.903061224489796,0.9289889588647956,0.7971183892917283,0.798115580351825,6.813483756449488,2.5040854929367047
7322,4988,0.903061224489796,0.9211400868941326,0.7954711792711059,0.7959623188951519,6.813483756449488,2.5040854929367047
7311,4500,0.903061224489796,0.9170833665497448,0.8190912212621728,0.8194531364371317,7.195708236560042,2.516329994943399
6695,4501,1.1163265306122447,1.1249388153698978,0.866796489943843,0.8668817573369678,6.05522590942546,2.4441316721548643
6686,4988,1.1163265306122447,1.105642936862245,0.8784461728718513,0.8785349344858469,6.813483756449488,2.5040854929367047
6685,4988,1.1163265306122447,1.0992654854910713,0.896409171399963,0.8966400178446756,6.813483756449488,2.5040854929367047
7312,5504,0.903061224489796,0.9305763711734693,0.8001642951546873,0.8005851033445668,6.652612876881011,2.6232982145001675
101179,4492,1.1163265306122447,1.1016093351403058,0.7983241948774202,0.7985730533873147,5.750085748385493,2.4334787085242073
6784,7271,1.5428571428571427,1.591674107142857,0.8485018939830454,0.8487541541145724,6.497816651327652,2.6750455246609524
6783,7271,1.5428571428571427,1.5425558035714284,0.8566752190039242,0.856675232012408,6.497816651327652,2.6750455246609524
6782,5555,1.3295918367346935,1.3155687978316326,0.9064585440250388,0.906485138951556,7.7162615880061285,3.076641308457849
6781,5012,1.1163265306122447,1.1679457310267851,0.9104512737592548,0.9107768639624596,6.571841064820513,3.1328399940897587
6763,5536,1.1163265306122447,1.1357859335140306,0.9224681047958698,0.9225491960418584,8.295593067929094,2.760345382202793
