Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer
8661,5557,1.1163265306122447,1.0832946029974486,0.933915203267627,0.9341036748733287
7386,6672,1.3295918367346937,1.2828483737244896,0.906475948852789,0.9068783388308584
8649,5022,0.9030612244897959,0.8191929408482144,0.9327945738019345,0.9336937104587337
7994,6131,0.9030612244897959,0.9336630062181122,0.951495808845319,0.9516248829864459
8650,5007,0.9030612244897959,0.9262550821109692,0.8623615102889667,0.8624022025340756
109674,3605,0.9030612244897959,0.8909792530293366,0.7414399369290308,0.7418923609710586
6709,4054,0.9030612244897959,0.8748405612244898,0.8536048606110604,0.8549656950304252
6717,3605,0.9030612244897959,0.9169069874043367,0.8196466917193085,0.8202134757345555
114412,4040,0.9030612244897959,0.9115274234693878,0.8213786167478332,0.8214986461955842
7343,5525,0.4765306122448979,0.4652688536352041,0.7818728895656489,0.7819043676022872
7342,4512,0.9030612244897959,0.9046486367984694,0.8419662792427277,0.8419681336227931
6708,4500,1.1163265306122447,1.133878148915816,0.8710943235238593,0.8712983984826683
8029,5570,1.1163265306122447,1.044702845982143,0.9304022483104591,0.93119440102438
9296,106287,0.6897959183673469,0.7488058035714287,0.9282520104883312,0.928439070382219
8635,6072,0.05,0.05,0.8371967228895241,0.8371967228895241
119882,6061,0.05,0.05,0.8018404844596995,0.8018404844596995
9295,4564,0.4765306122448979,0.5612264827806124,0.945315808508886,0.945693417862845
9283,5546,0.6897959183673469,0.6623792251275509,0.884033464394371,0.8840956936961987
119874,103992,0.05,0.05,0.8099262725080018,0.8099262725080018
102445,5537,0.26326530612244897,0.3759243463010202,0.8071605860657141,0.8075769826274054
104832,5537,0.4765306122448979,0.43120436065051015,0.7992524815019747,0.799418791878094
7369,5555,1.1163265306122447,1.0598015983737246,0.9278261891249097,0.9284134857648914
8009,5570,0.9030612244897959,0.9923972616390306,0.9306931801098306,0.931981017862332
7385,5555,1.1163265306122447,1.1218318518813775,0.9237971387426736,0.9238028986230016
7993,5021,0.9030612244897959,0.883747708067602,0.9341420550686295,0.9342073356719018
